data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
AA,unrooted,LG,tree_8,GPU_P1,3,14.901435,14.520209,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,4,14.999841,14.639076,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,5,14.963988,14.609515,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,6,14.956871,14.595698,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,7,14.955481,14.602003,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,8,15.227521,14.697009,-81931569.4926,18.2435,
AA,unrooted,LG,tree_8,GPU_P1,9,15.00881,14.64632,-81931569.4926,18.2435,
AA,unrooted,LG,tree_9,GPU_P1,10,15.250225,14.836202,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,1,14.981598,14.614999,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,2,15.051143,14.687366,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,3,14.989102,14.628488,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,4,15.126136,14.699709,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,5,15.040904,14.671501,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,6,15.074813,14.665714,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,7,15.012932,14.658195,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,8,15.239421,14.741117,-82340240.0177,18.0092,
AA,unrooted,LG,tree_9,GPU_P1,9,15.116308,14.734126,-82340240.0177,18.0092,
DNA,unrooted,GTR,tree_1,GPU_P1,10,22.303773,21.984007,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,1,22.373377,22.009525,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,2,22.376533,21.971004,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,3,22.459328,22.084456,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,4,22.454739,22.088937,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,5,22.449877,22.100909,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,6,22.435861,22.08967,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,7,22.532912,22.164209,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,8,22.332624,21.999423,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_1,GPU_P1,9,22.423716,22.037862,-64343453.4465,18.8458,
DNA,unrooted,GTR,tree_2,GPU_P1,10,20.187319,19.884573,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,1,20.381378,19.973506,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,2,20.229308,19.880705,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,3,20.367641,20.007862,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,4,20.256703,19.91809,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,5,20.370908,20.020509,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,6,20.4535,19.97839,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,7,20.407662,20.057822,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,8,20.249406,19.932585,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_2,GPU_P1,9,20.360242,19.912528,-66217826.7167,19.4201,
DNA,unrooted,GTR,tree_3,GPU_P1,10,20.08354,19.771812,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,1,20.180098,19.820529,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,2,20.087962,19.72391,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,3,20.177344,19.82482,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,4,20.107697,19.769038,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,5,20.235126,19.877396,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,6,20.442402,19.869022,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,7,20.294424,19.937035,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,8,20.099964,19.772772,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_3,GPU_P1,9,20.152067,19.777321,-66775585.7182,19.7309,
DNA,unrooted,GTR,tree_4,GPU_P1,10,28.867573,28.519845,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,1,29.094798,28.746647,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,2,29.006177,28.648134,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,3,29.087828,28.741748,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,4,28.995554,28.671465,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,5,29.188074,28.823103,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,6,29.092101,28.718091,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,7,29.142029,28.800405,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,8,29.122825,28.726195,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_4,GPU_P1,9,29.048125,28.687844,-68796897.5105,20.6013,
DNA,unrooted,GTR,tree_5,GPU_P1,10,20.081792,19.732154,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,1,20.168252,19.820219,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,2,20.045014,19.721769,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,3,20.292899,19.87772,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,4,20.207547,19.783166,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,5,20.27237,19.913004,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,6,20.254823,19.86853,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,7,20.300882,19.936288,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,8,20.153678,19.820446,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_5,GPU_P1,9,20.176575,19.823217,-68054924.6442,20.1454,
DNA,unrooted,GTR,tree_6,GPU_P1,10,27.383999,27.022868,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,1,27.62228,27.245262,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,2,27.517212,27.167279,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,3,27.591921,27.235795,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,4,27.49358,27.169955,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,5,27.664907,27.300855,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,6,27.587925,27.240251,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,7,27.511396,27.162449,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,8,27.572989,27.224483,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_6,GPU_P1,9,27.497335,27.157187,-62744017.4387,17.7533,
DNA,unrooted,GTR,tree_7,GPU_P1,10,20.151952,19.802357,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,1,20.319742,19.973307,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,2,20.22053,19.889165,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,3,20.360753,20.005017,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,4,20.210813,19.884529,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,5,20.339331,19.982786,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,6,20.281661,19.950037,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,7,20.321278,19.963774,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,8,20.218053,19.869087,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_7,GPU_P1,9,20.201554,19.86397,-67994419.0231,19.7121,
DNA,unrooted,GTR,tree_8,GPU_P1,10,43.044166,42.708086,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,1,43.213655,42.815708,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,2,42.994336,42.656139,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,3,43.163421,42.799365,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,4,43.072579,42.694804,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,5,43.36065,42.850754,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,6,43.115358,42.783334,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,7,43.225226,42.807008,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,8,43.0396,42.698333,-67533499.0224,19.7198,
DNA,unrooted,GTR,tree_8,GPU_P1,9,43.035145,42.698993,-67533499.0224,19.7198,
AA,unrooted,LG,tree_1,VANILA,8,291.329,284.498,-88901422.374,19.949,288.311
AA,unrooted,LG,tree_1,VANILA,6,284.223,277.14,-88901422.374,19.949,281.315
AA,unrooted,LG,tree_1,OMP_48,1,14.57,583.705,-88901422.374,19.949,13.352
AA,unrooted,LG,tree_1,OMP_10,3,38.37,365.734,-88901422.374,19.949,37.111
AA,unrooted,LG,tree_1,OMP_48,6,20.414,663.648,-88901422.374,19.949,18.994
AA,unrooted,LG,tree_1,OMP_10,4,39.417,376.06,-88901422.374,19.949,38.114
AA,unrooted,LG,tree_1,VANILA,5,286.372,279.244,-88901422.374,19.949,283.427
AA,unrooted,LG,tree_1,OMP_48,9,15.165,591.63,-88901422.374,19.949,13.942
AA,unrooted,LG,tree_1,OMP_10,10,38.403,365.935,-88901422.374,19.949,37.144
AA,unrooted,LG,tree_1,OMP_10,2,67.275,428.673,-88901422.374,19.949,65.192
AA,unrooted,LG,tree_1,VANILA,3,281.718,274.894,-88901422.374,19.949,278.752
AA,unrooted,LG,tree_1,OMP_48,8,14.853,603.176,-88901422.374,19.949,13.492
AA,unrooted,LG,tree_1,OMP_10,5,38.656,350.381,-88901422.374,19.949,37.327
AA,unrooted,LG,tree_1,OMP_48,7,15.413,626.363,-88901422.374,19.949,13.978
AA,unrooted,LG,tree_1,OMP_48,10,14.285,588.005,-88901422.374,19.949,12.916
AA,unrooted,LG,tree_1,VANILA,1,276.523,269.771,-88901422.374,19.949,273.691
AA,unrooted,LG,tree_1,OMP_10,6,37.493,345.833,-88901422.374,19.949,36.24
AA,unrooted,LG,tree_1,OMP_48,4,16.217,577.638,-88901422.374,19.949,13.184
AA,unrooted,LG,tree_1,OMP_10,9,38.319,365.443,-88901422.374,19.949,37.09
AA,unrooted,LG,tree_1,OMP_10,1,38.61,368.619,-88901422.374,19.949,37.367
AA,unrooted,LG,tree_1,OMP_48,3,14.121,578.844,-88901422.374,19.949,12.678
AA,unrooted,LG,tree_1,VANILA,2,284.46,277.61,-88901422.374,19.949,281.471
AA,unrooted,LG,tree_1,OMP_10,8,36.304,333.871,-88901422.374,19.949,35.054
AA,unrooted,LG,tree_1,OMP_48,5,18.564,630.743,-88901422.374,19.949,17.183
AA,unrooted,LG,tree_1,OMP_10,7,38.356,365.322,-88901422.374,19.949,37.115
AA,unrooted,LG,tree_1,VANILA,4,285.185,278.647,-88901422.374,19.949,282.157
AA,unrooted,LG,tree_1,VANILA,10,282.798,276.389,-88901422.374,19.949,279.944
AA,unrooted,LG,tree_1,VANILA,7,281.219,274.13,-88901422.374,19.949,278.094
AA,unrooted,LG,tree_1,VANILA,9,291.16,284.376,-88901422.374,19.949,288.233
