data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
AA,unrooted,LG,tree_4,OPENACC,6,31.903,31.475,-87712627.079,20.39,28.873
AA,unrooted,LG,tree_5,OMP_48,6,17.757,624.961,-86382770.364,19.61,16.446
AA,unrooted,LG,tree_5,OPENACC,10,30.292,29.916,-86382770.364,19.61,27.444
AA,unrooted,LG,tree_5,OPENACC,1,30.207,29.843,-86382770.364,19.61,27.346
AA,unrooted,LG,tree_5,OMP_10,4,39.502,375.813,-86382770.364,19.61,38.215
AA,unrooted,LG,tree_5,OMP_48,9,15.14,630.022,-86382770.364,19.61,13.643
AA,unrooted,LG,tree_5,OMP_48,1,15.352,622.852,-86382770.364,19.61,14.115
AA,unrooted,LG,tree_5,OMP_10,3,38.557,367.178,-86382770.364,19.61,37.319
AA,unrooted,LG,tree_5,OPENACC,3,30.475,30.106,-86382770.364,19.61,27.586
AA,unrooted,LG,tree_5,OPENACC,2,30.367,30.004,-86382770.364,19.61,27.498
AA,unrooted,LG,tree_5,OMP_48,8,18.484,643.36,-86382770.364,19.61,17.149
AA,unrooted,LG,tree_5,OMP_10,5,36.933,338.447,-86382770.364,19.61,35.641
AA,unrooted,LG,tree_5,OMP_48,10,14.598,598.304,-86382770.364,19.61,13.165
AA,unrooted,LG,tree_5,OMP_48,7,16.719,639.549,-86382770.364,19.61,15.429
AA,unrooted,LG,tree_5,OPENACC,4,30.37,30.019,-86382770.364,19.61,27.491
AA,unrooted,LG,tree_5,OPENACC,5,31.3,30.918,-86382770.364,19.61,28.281
AA,unrooted,LG,tree_5,OPENACC,9,30.03,29.675,-86382770.364,19.61,27.206
AA,unrooted,LG,tree_5,OPENACC,7,30.157,29.796,-86382770.364,19.61,27.351
AA,unrooted,LG,tree_5,OMP_10,10,38.56,367.262,-86382770.364,19.61,37.312
AA,unrooted,LG,tree_5,OMP_10,2,66.732,433.918,-86382770.364,19.61,64.723
AA,unrooted,LG,tree_5,OPENACC,8,30.088,29.734,-86382770.364,19.61,27.229
AA,unrooted,LG,tree_5,OPENACC,6,31.634,31.212,-86382770.364,19.61,28.57
AA,unrooted,LG,tree_5,OPENACC,7,30.507,30.124,-86382770.364,19.61,27.605
AA,unrooted,LG,tree_5,OPENACC,9,30.003,29.658,-86382770.364,19.61,27.161
AA,unrooted,LG,tree_5,OMP_10,1,38.869,370.698,-86382770.364,19.61,37.654
AA,unrooted,LG,tree_5,OPENACC,6,31.529,31.088,-86382770.364,19.61,28.452
AA,unrooted,LG,tree_5,OPENACC,8,31.196,30.796,-86382770.364,19.61,28.172
AA,unrooted,LG,tree_5,OMP_48,3,20.561,722.519,-86382770.364,19.61,19.132
AA,unrooted,LG,tree_5,OPENACC,10,30.135,29.766,-86382770.364,19.61,27.297
AA,unrooted,LG,tree_5,OMP_10,6,58.374,399.462,-86382770.364,19.61,56.988
AA,unrooted,LG,tree_5,OMP_48,4,14.514,600.178,-86382770.364,19.61,13.089
AA,unrooted,LG,tree_5,OPENACC,4,30.581,30.204,-86382770.364,19.61,27.657
AA,unrooted,LG,tree_5,OPENACC,5,30.518,30.153,-86382770.364,19.61,27.636
AA,unrooted,LG,tree_5,OMP_10,9,38.65,367.359,-86382770.364,19.61,37.348
AA,unrooted,LG,tree_5,OMP_48,2,19.05,629.558,-86382770.364,19.61,17.697
AA,unrooted,LG,tree_5,OPENACC,3,30.293,29.835,-86382770.364,19.61,27.44
AA,unrooted,LG,tree_5,OPENACC,2,31.506,31.122,-86382770.364,19.61,28.46
AA,unrooted,LG,tree_5,OMP_10,8,37.399,342.069,-86382770.364,19.61,36.104
AA,unrooted,LG,tree_5,OMP_48,5,19.057,652.134,-86382770.364,19.61,17.708
AA,unrooted,LG,tree_5,OPENACC,1,30.399,30.014,-86382770.364,19.61,27.562
AA,unrooted,LG,tree_5,OMP_10,7,38.619,367.663,-86382770.364,19.61,37.342
AA,unrooted,LG,tree_6,OMP_10,3,39.9,377.862,-84301496.968,18.591,38.645
AA,unrooted,LG,tree_6,OPENACC,5,31.195,30.822,-84301496.968,18.591,28.28
AA,unrooted,LG,tree_6,OPENACC,4,30.885,30.519,-84301496.968,18.591,28.022
AA,unrooted,LG,tree_6,OPENACC,10,30.243,29.88,-84301496.968,18.591,27.469
AA,unrooted,LG,tree_6,OMP_48,1,15.207,620.806,-84301496.968,18.591,13.72
