data_type,topology,model,tree,ll_VANILA,time_VANILA,uf_VANILA,rates_VANILA,ll_OPENACC,time_OPENACC,uf_OPENACC,rates_OPENACC,ll_diff
AA,unrooted,LG+C60,tree_2,-43.4233,0.179197,0,,-66.019,0.609442,0,,22.595700000000008
AA,unrooted,LG+C60,tree_3,-54.5806,0.293936,0,,-85.6111,0.626931,0,,31.030499999999996
AA,unrooted,LG+C60,tree_4,-53.6699,0.228757,0,,-91.8151,0.626931,0,,38.1452
AA,unrooted,LG+C60,tree_5,-32.052,0.133992,0,,-68.0634,0.402979,0,,36.0114
AA,unrooted,LG+C60,tree_6,-42.6845,0.24166,0,,-90.1662,0.595495,0,,47.481700000000004
AA,unrooted,LG+C60,tree_7,-48.4746,0.342743,0,,-58.9594,0.610478,0,,10.4848
AA,unrooted,LG+C60,tree_8,-44.1678,0.243104,0,,-71.6126,0.597284,0,,27.4448
AA,unrooted,LG+C60,tree_9,-34.5222,0.356085,0,,-82.4043,0.661423,0,,47.88210000000001
AA,unrooted,LG+G4,tree_1,-51.5526,0.0155152,0,,-51.5526,0.0802109,0,,0.0
AA,unrooted,LG+G4,tree_10,-56.5387,0.0315348,0,,-56.5387,0.057672,0,,0.0
AA,unrooted,LG+G4,tree_2,-45.9581,0.0108623,0,,-45.9581,0.086241,0,,0.0
AA,unrooted,LG+G4,tree_3,-65.4274,0.013742,0,,-65.4274,0.123651,0,,0.0
AA,unrooted,LG+G4,tree_4,-46.2536,0.0172334,0,,-46.2536,0.0960221,0,,0.0
AA,unrooted,LG+G4,tree_5,-41.6674,0.0121531,0,,-41.6674,0.0651999,0,,0.0
AA,unrooted,LG+G4,tree_6,-46.607,0.0134213,0,,-46.607,0.106523,0,,0.0
AA,unrooted,LG+G4,tree_7,-33.4254,0.0100669,0,,-33.4254,0.0894911,0,,0.0
AA,unrooted,LG+G4,tree_8,-29.2651,0.0149175,0,,-29.2651,0.0884361,0,,0.0
AA,unrooted,LG+G4,tree_9,-47.7809,0.0178076,0,,-47.7809,0.05162,0,,0.0
AA,unrooted,LG+I,tree_1,-32.8483,0.0366079,0,,-32.8483,0.029206,0,,0.0
AA,unrooted,LG+I,tree_10,-38.1485,0.0200395,0,,-38.1485,0.0487602,0,,0.0
AA,unrooted,LG+I,tree_2,-60.8509,0.0190794,0,,-60.8509,0.0285242,0,,0.0
AA,unrooted,LG+I,tree_3,-41.2129,0.033604,0,,-41.2129,0.0521891,0,,0.0
AA,unrooted,LG+I,tree_4,-42.6494,0.0275265,0,,-42.6494,0.0349391,0,,0.0
AA,unrooted,LG+I,tree_5,-64.9414,0.0304288,0,,-64.9414,0.0259359,0,,0.0
AA,unrooted,LG+I,tree_6,-54.8024,0.0513528,0,,-54.8024,0.0347719,0,,0.0
AA,unrooted,LG+I,tree_7,-42.9675,0.0219709,0,,-42.9675,0.036479,0,,0.0
AA,unrooted,LG+I,tree_8,-57.777,0.0165583,0,,-57.777,0.137776,0,,0.0
AA,unrooted,LG+I,tree_9,-33.6774,0.0292163,0,,-33.6774,0.0299301,0,,0.0
AA,unrooted,LG+I+G4,tree_1,-44.1689,0.0348303,0,,-44.1689,0.40362,0,,0.0
AA,unrooted,LG+I+G4,tree_10,-33.2067,0.0472292,0,,-33.2067,0.3262,0,,0.0
AA,unrooted,LG+I+G4,tree_2,-51.1984,0.0548972,0,,-51.1984,0.525858,0,,0.0
AA,unrooted,LG+I+G4,tree_3,-42.4307,0.079467,0,,-42.4307,0.622448,0,,0.0
AA,unrooted,LG+I+G4,tree_4,-52.6315,0.0706228,0,,-52.6315,0.510006,0,,0.0
AA,unrooted,LG+I+G4,tree_5,-38.9141,0.0495569,0,,-38.9141,0.506754,0,,0.0
AA,unrooted,LG+I+G4,tree_6,-51.6059,0.116777,0,,-51.6059,0.568394,0,,0.0
AA,unrooted,LG+I+G4,tree_7,-53.4563,0.089071,0,,-53.4563,0.545742,0,,0.0
AA,unrooted,LG+I+G4,tree_8,-32.4813,0.0790011,0,,-32.4813,0.379504,0,,0.0
AA,unrooted,LG+I+G4,tree_9,-44.1309,0.100033,0,,-44.1309,0.598625,0,,0.0
AA,unrooted,LG+R4,tree_1,-41.6627,0.02196,0,"(0.2307,0.4490) (0.2516,0.9304) (0.2619,1.1876) (0.2557,1.3734)",-41.6522,0.0827551,0,"(0.2494,0.9996) (0.2521,0.9999) (0.2467,1.0002) (0.2517,1.0002)",0.010500000000000398
AA,unrooted,LG+R4,tree_10,-51.0529,0.0386733,0,"(0.3347,0.1703) (0.3061,0.1707) (0.2476,0.1733) (0.1116,7.5985)",-52.4929,0.0817471,0,"(0.1904,0.8135) (0.1944,0.8137) (0.2309,0.9172) (0.3843,1.2364)",1.4399999999999977
AA,unrooted,LG+R4,tree_2,-47.7273,0.0537559,0,"(0.3710,0.1548) (0.2995,0.1839) (0.2200,0.1905) (0.1094,7.7262)",-49.1831,0.0770431,0,"(0.2052,0.8684) (0.2107,0.8686) (0.2200,0.8818) (0.3641,1.2216)",1.4558000000000035
AA,unrooted,LG+R4,tree_3,-43.3237,0.0496137,0,"(0.3132,0.2064) (0.2936,0.2561) (0.2552,0.3564) (0.1381,5.5697)",-43.9513,0.106906,0,"(0.2151,0.8236) (0.2137,0.8237) (0.2345,0.9019) (0.3367,1.2930)",0.627600000000001
AA,unrooted,LG+R4,tree_4,-46.4772,0.0200998,0,"(0.2379,0.1597) (0.2451,0.5934) (0.2589,1.2181) (0.2581,1.9418)",-46.5398,0.051048,0,"(0.2493,0.9998) (0.2464,0.9999) (0.2526,0.9999) (0.2518,1.0004)",0.06259999999999621
AA,unrooted,LG+R4,tree_5,-60.1078,0.0790501,0,"(0.3253,0.1272) (0.1543,1.2547) (0.2574,1.4698) (0.2629,1.4703)",-60.4554,0.0600979,0,"(0.2494,0.9842) (0.2521,0.9842) (0.2376,0.9844) (0.2608,1.0446)",0.3475999999999999
AA,unrooted,LG+R4,tree_6,-32.1779,0.0222099,0,"(0.2419,0.3490) (0.2501,0.8471) (0.2550,1.2136) (0.2529,1.5585)",-32.1684,0.0816989,0,"(0.2509,0.9996) (0.2497,0.9999) (0.2510,1.0002) (0.2485,1.0003)",0.009500000000002728
AA,unrooted,LG+R4,tree_7,-54.4718,0.0209211,0,"(0.2295,0.1938) (0.2439,0.5799) (0.2627,1.2554) (0.2638,1.8355)",-54.6106,0.076174,0,"(0.2560,0.9997) (0.2487,0.9998) (0.2399,1.0003) (0.2554,1.0003)",0.13879999999999626
AA,unrooted,LG+R4,tree_8,-65.559,0.0211517,0,"(0.2849,0.1183) (0.1975,0.1734) (0.2276,1.7877) (0.2900,1.8109)",-66.4528,0.073565,0,"(0.2114,0.8693) (0.1944,0.8696) (0.1909,0.8696) (0.4032,1.1931)",0.8937999999999988
AA,unrooted,LG+R4,tree_9,-43.6386,0.0198427,0,"(0.3289,0.1219) (0.2815,0.1380) (0.2161,0.1446) (0.1735,5.1273)",-45.4018,0.0776129,0,"(0.1692,0.5200) (0.1745,0.5203) (0.2256,0.8252) (0.4307,1.4744)",1.7632000000000048
DNA,rooted,GTR,tree_1,-21.7742,0.0202614,0,,-21.7743,0.132205,0,,9.999999999976694e-05
DNA,rooted,GTR,tree_10,-19.0077,0.00935266,0,,-19.0077,0.0834961,0,,0.0
DNA,rooted,GTR,tree_2,-19.5972,0.00942601,0,,-19.5972,0.0668929,0,,0.0
DNA,rooted,GTR,tree_3,-19.7937,0.0268067,0,,-19.7937,0.0274742,0,,0.0
DNA,rooted,GTR,tree_4,-31.8623,0.0159653,0,,-31.8624,0.137671,0,,9.999999999976694e-05
DNA,rooted,GTR,tree_5,-28.3623,0.00937569,0,,-28.3623,0.0656149,0,,0.0
DNA,rooted,GTR,tree_6,-23.2969,0.00955326,0,,-23.2972,0.0972888,0,,0.0002999999999993008
DNA,rooted,GTR,tree_7,-36.2323,0.00912101,0,,-36.2323,0.107954,0,,0.0
DNA,rooted,GTR,tree_8,-21.1144,0.0188301,0,,-21.1132,0.114326,0,,0.001200000000000756
DNA,rooted,GTR,tree_9,-28.5536,0.0115948,0,,-28.5536,0.031626,0,,0.0
DNA,rooted,GTR+G4,tree_1,-15.7619,0.200072,0,,-15.7619,0.054786,0,,0.0
DNA,rooted,GTR+G4,tree_10,-24.165,0.601837,0,,-24.165,0.0815558,0,,0.0
DNA,rooted,GTR+G4,tree_2,-21.6551,0.601885,0,,-21.6552,0.0542371,0,,9.999999999976694e-05
DNA,rooted,GTR+G4,tree_3,-22.174,0.550513,0,,-22.174,0.253442,0,,0.0
DNA,rooted,GTR+G4,tree_4,-22.0407,0.367408,0,,-22.0407,0.058424,0,,0.0
DNA,rooted,GTR+G4,tree_5,-17.6505,0.191185,0,,-17.6505,0.060252,0,,0.0
DNA,rooted,GTR+G4,tree_6,-27.9543,0.32508,0,,-27.9543,0.0608571,0,,0.0
DNA,rooted,GTR+G4,tree_7,-20.493,0.188935,0,,-20.493,0.12022,0,,0.0
DNA,rooted,GTR+G4,tree_8,-31.7372,0.469468,0,,-31.7372,0.09232,0,,0.0
DNA,rooted,GTR+G4,tree_9,-17.7249,0.197282,0,,-17.7248,0.039319,0,,0.00010000000000331966
DNA,rooted,GTR+I,tree_1,-18.5477,0.0177237,0,,-18.5477,0.138868,0,,0.0
DNA,rooted,GTR+I,tree_10,-20.3435,0.018517,0,,-20.3435,0.0785921,0,,0.0
DNA,rooted,GTR+I,tree_2,-26.4621,0.0120707,0,,-26.4621,0.100669,0,,0.0
DNA,rooted,GTR+I,tree_3,-28.6229,0.0111261,0,,-28.6229,0.118579,0,,0.0
DNA,rooted,GTR+I,tree_4,-21.1973,0.0247772,0,,-21.1973,0.154971,0,,0.0
DNA,rooted,GTR+I,tree_5,-17.0088,0.014795,0,,-17.0085,0.138615,0,,0.0002999999999993008
DNA,rooted,GTR+I,tree_6,-22.7707,0.0116539,0,,-22.7735,0.157464,0,,0.002799999999997027
DNA,rooted,GTR+I,tree_7,-24.8926,0.0108281,0,,-24.8926,0.0753639,0,,0.0
DNA,rooted,GTR+I,tree_8,-16.8665,0.0215695,0,,-16.8675,0.425859,0,,0.0010000000000012221
DNA,rooted,GTR+I,tree_9,-33.4432,0.0103755,0,,-33.4432,0.103194,0,,0.0
DNA,rooted,GTR+I+G4,tree_1,-26.6021,0.0820238,0,,-26.6019,0.781764,0,,0.00019999999999953388
DNA,rooted,GTR+I+G4,tree_10,-18.1703,0.0755531,0,,-18.1703,0.803342,0,,0.0
DNA,rooted,GTR+I+G4,tree_2,-42.3377,0.0712172,0,,-42.3377,1.11713,0,,0.0
DNA,rooted,GTR+I+G4,tree_3,-15.4437,0.113424,0,,-15.4437,0.301515,0,,0.0
DNA,rooted,GTR+I+G4,tree_4,-18.8078,0.0415643,0,,-18.8078,0.718921,0,,0.0
DNA,rooted,GTR+I+G4,tree_5,-16.4382,0.0818883,0,,-16.4382,1.0218,0,,0.0
DNA,rooted,GTR+I+G4,tree_6,-22.9466,0.0550407,0,,-22.9061,0.94901,0,,0.040500000000001535
