data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
AA,unrooted,LG+C60,1,-40.979,-40.979,-40.979,3.0,0.21,0.243,-89.5385,-89.539,-89.539,2.0,0.613,0.919,False,0,0,False,both,-48.5595,48.5595,False,-1.0
AA,unrooted,LG+C60,2,-43.4233,-43.423,-43.423,2.0,0.143,0.189,-66.019,-66.019,-66.019,2.0,0.585,0.636,False,0,0,False,both,-22.595700000000008,22.595700000000008,False,0.0
AA,unrooted,LG+C60,3,-54.5806,-54.581,-54.581,3.0,0.246,0.319,-85.6111,-85.611,-85.611,2.0,0.593,0.677,False,0,0,False,both,-31.030499999999996,31.030499999999996,False,-1.0
AA,unrooted,LG+C60,4,-53.6699,-53.67,-53.67,3.0,0.181,0.21,-91.8151,-91.815,-91.815,2.0,0.607,0.667,False,0,0,False,both,-38.1452,38.1452,False,-1.0
AA,unrooted,LG+C60,5,-32.052,-32.052,-32.052,2.0,0.076,0.098,-68.0634,-68.063,-68.063,2.0,0.36,0.564,False,0,0,False,both,-36.0114,36.0114,False,0.0
AA,unrooted,LG+C60,6,-42.6845,-42.684,-42.684,3.0,0.174,0.202,-90.1662,-90.166,-90.166,2.0,0.551,0.612,False,0,0,False,both,-47.481700000000004,47.481700000000004,False,-1.0
AA,unrooted,LG+C60,7,-48.4746,-48.475,-48.475,4.0,0.258,0.287,-58.9594,-58.959,-58.959,2.0,0.581,0.665,False,0,0,False,both,-10.4848,10.4848,False,-2.0
AA,unrooted,LG+C60,8,-44.1678,-44.168,-44.168,3.0,0.183,0.205,-71.6126,-71.613,-71.613,2.0,0.572,0.629,False,0,0,False,both,-27.4448,27.4448,False,-1.0
AA,unrooted,LG+C60,9,-34.5222,-34.522,-34.522,3.0,0.303,0.382,-82.4043,-82.404,-82.404,2.0,0.593,0.657,False,0,0,False,both,-47.88210000000001,47.88210000000001,False,-1.0
AA,unrooted,LG+C60,10,-34.678,-34.678,-34.678,3.0,0.276,0.299,-67.8917,-67.892,-67.892,2.0,0.585,0.701,False,0,0,False,both,-33.2137,33.2137,False,-1.0
