file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-R6_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I+R6,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,7399.7694199085,0.0043289661,-782588199.3651571,2344345.296,3804013.902,134094.688,133220.0,25145.453
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-R7_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I+R7,COMPLETE,gadi-gpu-h200-0011.gadi.nci.org.au,7434.378,0.004,-782588259.261,2035436.445,3947353.982,132700.688,131826.0,25145.527
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+I,COMPLETE,gadi-gpu-h200-0027.gadi.nci.org.au,210.552,0.013,-825762690.315,77804.665,88978.662,104174.688,103300.0,24262.562
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-R1_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+R1,COMPLETE,gadi-gpu-h200-0009.gadi.nci.org.au,85.599,0.004,-827775381.071,45764.629,33337.137,104174.688,103300.0,24262.52
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-R2_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+R2,COMPLETE,gadi-gpu-h200-0019.gadi.nci.org.au,442.899,0.004,-790602381.657,184370.197,200631.809,123218.688,122344.0,24404.379
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-R3_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+R3,COMPLETE,gadi-gpu-h200-0023.gadi.nci.org.au,559.408,0.007,-783405092.745,229668.91,271962.618,125406.688,124532.0,24404.215
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-R4_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+R4,COMPLETE,gadi-gpu-h200-0006.gadi.nci.org.au,248.897,0.004,-782587988.958,84713.409,117566.198,125446.688,124572.0,24404.238
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-R6_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+R6,COMPLETE,gadi-gpu-h200-0006.gadi.nci.org.au,7219.786,0.005,-782588228.418,1915139.293,3779484.097,134094.688,133220.0,25145.133
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-R7_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG+R7,COMPLETE,gadi-gpu-h200-0006.gadi.nci.org.au,19832.403,0.008,-782588262.423,5073355.923,10460344.355,132700.688,131826.0,25145.215
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG_100taxa_10000000len_modelwise_te_OPENACC_run1_tree_1_10000000_aa_iqtree.log,AA,LG+I+G4,100,10000000,openACC_H200,LG,COMPLETE,gadi-gpu-h200-0013.gadi.nci.org.au,81.62,0.004,-827775381.071,44441.692,31651.471,104174.688,103300.0,24262.332
