file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,logL_ref,delta_logL,rel_diff
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-G4_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+G4,COMPLETE,gadi-cpu-spr-0111.gadi.nci.org.au,38.421,0.0,-78605196.52,29778.898,,,,60683.387,-78605196.52,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+G4,COMPLETE,gadi-cpu-spr-0199.gadi.nci.org.au,7600.459,0.0,-78605196.526,5297314.129,,,,60712.367,-78605196.526,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R1_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+R1,COMPLETE,gadi-cpu-spr-0238.gadi.nci.org.au,27.854,0.0,-82958960.162,20183.527,,,,32117.852,-82958960.162,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R2_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+R2,COMPLETE,gadi-cpu-spr-0252.gadi.nci.org.au,76.536,0.0,-79375591.945,53662.612,,,,46430.762,-79375591.945,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R3_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+R3,COMPLETE,gadi-cpu-spr-0704.gadi.nci.org.au,94.29,0.0,-78686194.513,65699.775,,,,60758.242,-78686194.513,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R4_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+R4,COMPLETE,gadi-cpu-spr-0563.gadi.nci.org.au,1033.951,0.0,-78605197.696,704163.313,,,,75074.789,-78605197.696,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R5_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+R5,COMPLETE,gadi-cpu-spr-0571.gadi.nci.org.au,923.4929790497,0.0001001358,-78605223.99511835,637275.821,,,,89369.621,-78605223.99511835,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R6_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+R6,COMPLETE,gadi-cpu-spr-0705.gadi.nci.org.au,1186.921,0.0,-78605215.249,820872.354,,,,103682.621,-78605215.249,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R7_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I+R7,COMPLETE,gadi-cpu-spr-0494.gadi.nci.org.au,1111.169,0.0,-78605221.579,760120.423,,,,117995.363,-78605221.579,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+I,COMPLETE,gadi-cpu-spr-0288.gadi.nci.org.au,31.852,0.0,-82958960.162,24192.753,,,,17766.207,-82958960.162,0.0,0.0
