backend,taxa,sites,patterns,likelihood,time,treefile,run_number
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.611,tree_6,run4
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.644,tree_6,run3
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.705,tree_6,run6
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.6,tree_6,run9
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.664,tree_6,run1
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.525,tree_6,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.65,tree_6,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.58,tree_6,run2
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.552,tree_6,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-63964654.267,2.718,tree_6,run5
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.641,tree_7,run5
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.569,tree_7,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.72,tree_7,run2
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.667,tree_7,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.54,tree_7,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.642,tree_7,run1
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.637,tree_7,run9
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.678,tree_7,run6
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.658,tree_7,run3
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68711425.513,2.669,tree_7,run4
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.637,tree_8,run3
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.654,tree_8,run4
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.603,tree_8,run1
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.595,tree_8,run9
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.704,tree_8,run6
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.634,tree_8,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.565,tree_8,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.612,tree_8,run5
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.538,tree_8,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-65497999.131,2.646,tree_8,run2
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.619,tree_9,run2
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.558,tree_9,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.661,tree_9,run5
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.601,tree_9,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.635,tree_9,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.708,tree_9,run6
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.573,tree_9,run9
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.629,tree_9,run1
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.658,tree_9,run4
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-71452143.17,2.657,tree_9,run3
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.628,tree_10,run3
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.576,tree_10,run8
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.597,tree_10,run4
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.606,tree_10,run9
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.682,tree_10,run5
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.607,tree_10,run2
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.679,tree_10,run7
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.524,tree_10,run10
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.598,tree_10,run1
IQ-TREE_DNACompileOpt_GPU_V100,100,1000000,1000000,-68040774.091,2.648,tree_10,run6
