file,datatype,model,taxa,sites,hardware,status,nt,host,distinct_patterns,wall_total_s,wall_tree_s,is_resumed,wall_fastml_s,best_logL,energy_cpu_total_J,energy_gpu_total_J,energy_cpu_ts_J,energy_gpu_ts_J,energy_cpu_mf_J,energy_gpu_mf_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,wall_mf_s
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R4_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0015.gadi.nci.org.au,96017,293.565,0.0,False,,-7541972.883,,,,,,,,,,,,293.565
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R5_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0015.gadi.nci.org.au,96017,678.214,0.0,False,,-7541974.702,,,,,,,,,,,,678.214
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R6_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0019.gadi.nci.org.au,96017,1090.927,0.0,False,,-7541974.161,,,,,,,,,,,,1090.927
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R7_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0020.gadi.nci.org.au,96017,974.879,0.0,False,,-7541974.029,,,,,,,,,,,,974.879
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0012.gadi.nci.org.au,96017,14.439,0.0,False,,-7941914.563,,,,,,,,,,,,14.439
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-R5_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0020.gadi.nci.org.au,96017,772.176,0.0,False,,-7541974.075,,,,,,,,,,,,772.176
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-R6_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0018.gadi.nci.org.au,96017,1040.419,0.0,False,,-7541974.438,,,,,,,,,,,,1040.419
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-R7_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0020.gadi.nci.org.au,96017,947.625,0.0,False,,-7541974.157,,,,,,,,,,,,947.625
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,cudajolt_modelwise_H200,COMPLETE,12.0,gadi-gpu-h200-0008.gadi.nci.org.au,96017,1.467,0.0,False,,-7964675.113,,,,,,,,,,,,1.467
output_openACC_bfgs_stable_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_stable_H200,COMPLETE,,gadi-gpu-h200-0018.gadi.nci.org.au,96017,1260.916,797.002,False,12.194,-7541976.86,360756.873,437545.016,231194.354,265447.773,127413.279,170052.961,17180.688,143771.0,16306.0,480.488,1031781.773,463.914
