run,hardware,test,datatype,sites,wall_s,speedup_vs_CLX,energy_J,energy_ratio_vs_CLX,best_logL
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_1000000len_ninit2_UFBOOT1000,CPU_CLX_OMP48,UFBOOT1000,DNA,1000000,11586.825,1.0,4522576.88,1.0,-59208019.212
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_100000len_ninit2_MTEST,CPU_CLX_OMP48,MTEST,DNA,100000,267.679,1.0,110394.163,1.0,-5692984.539
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_100000len_ninit2_UFBOOT1000,CPU_CLX_OMP48,UFBOOT1000,DNA,100000,330.549,1.0,149247.63,1.0,-5692984.539
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_1000len_ninit2_MIXGTR,CPU_CLX_OMP48,MIXGTR,DNA,1000,33.347,1.0,11098.454,1.0,-59877.112
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_1000len_ninit2_MTEST,CPU_CLX_OMP48,MTEST,DNA,1000,48.969,1.0,16379.111,1.0,-56180.293
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_1000len_ninit2_UFBOOT1000,CPU_CLX_OMP48,UFBOOT1000,DNA,1000,85.604,1.0,28610.938,1.0,-56180.293
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_10000000len_ninit2_MTEST_OPENACC_run1_tree_1_10000000_iqtree,GPU_H200,MTEST,DNA,10000000,11392.727,18.849691035342108,8350244.233999999,0.38228249616604904,-578953728.648
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_10000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_10000000_iqtree,GPU_H200,UFBOOT1000,DNA,10000000,47000.11,,36485895.455,,-578953758.649
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree,GPU_H200,MTEST,DNA,1000000,1738.757,6.054748305829969,1121375.46,0.2779828252403658,-59208019.245
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000000_iqtree,GPU_H200,UFBOOT1000,DNA,1000000,5195.435,2.2301934294241,2602055.5990000004,0.5753480080144044,-59208019.245
