run,hardware,test,datatype,sites,complete,wall_total_s,cpu_total_s,wall_ts_s,cpu_ts_s,wall_mf_explicit_s,cpu_mf_explicit_s,is_resumed,best_logL,energy_cpu_J,energy_gpu_J,energy_total_J,e_ts_cpu_J,e_ts_gpu_J,e_mf_cpu_J,e_mf_gpu_J,gpu_name,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,mf_required_MB,mem_flag,lm_save_gpu_GB,lm_save_gpu_pct,lm_save_cpu_GB,lm_save_cpu_pct,avg_power_W,cpu_share,wall_mf_s
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_H200,UFBOOT1000,AA,1000000,True,13454.291,13322.344,10122.085,10101.22,3264.364,3155.4,False,-78605196.573,3625105.611,4266320.48,7891426.091,2710240.77,2934760.241,888761.438,1303650.745,NVIDIA H200,138080.688,143771.0,137206.0,6713.586,1031781.785,149834.0,,,,,,586.5360048329563,0.4593726874201298,3264.364
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_LGC10_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_V100,LGC10,AA,1000000,False,,,,,,,False,,,,,,,,,,,,,,385024.0,,,64.797,206.186,,,,,
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_V100,MTEST,AA,1000000,True,18614.403,18548.292,13646.394,13637.939,4856.187,4799.594,False,-78605196.573,3493139.723,4263866.847,7757006.57,2558043.073,3124043.122,910676.608,1116071.877,Tesla V100-SXM2-32GB,28521.25,32768.0,27934.0,3439.098,385603.188,21056.0,,27.98,89.034,,,416.72067430795397,0.45032058326592345,4856.187
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000000_aa_iqtree,GPU_V100,UFBOOT1000,AA,1000000,True,31668.994,31549.395,24776.934,24726.731,6743.047,6675.543,False,-78605196.573,5931764.854,6643112.343,12574877.197,4672158.109,4984094.302,1216099.853,1612543.829,Tesla V100-SXM2-32GB,9561.25,32768.0,8974.0,6683.145,385600.16,21157.0,,27.98,89.034,,,397.0722024513946,0.4717155293902311,6743.047
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_LGC10_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_H200,LGC10,AA,100000,True,3721.768,3719.694,3650.632,3650.063,,,False,-7816903.985,1330135.613,1972312.632,3302448.245,1304380.665,1940586.108,,,NVIDIA H200,120796.688,143771.0,119922.0,495.637,1031781.766,,,,,,,887.3331827776476,0.4027725839500627,71.13599999999997
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_H200,MTEST,AA,100000,True,1055.224,1046.013,799.882,799.814,248.624,239.645,False,-7541976.86,305090.336,351346.917,656437.253,236052.722,267304.734,66879.225,81990.292,NVIDIA H200,13414.688,143771.0,12540.0,480.379,1031781.793,5935.0,,,,,,622.0833235407838,0.464766943993046,248.624
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_H200,UFBOOT1000,AA,100000,True,1512.389,1500.586,1142.306,1141.461,361.876,351.162,False,-7541976.86,404354.141,418808.434,823162.575,305014.666,300750.733,96305.652,115212.413,NVIDIA H200,24150.688,143771.0,23276.0,870.707,1031781.777,15204.0,,,,,,544.2796628380661,0.49122026836557775,361.876
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_LGC10_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_V100,LGC10,AA,100000,True,12338.394,12336.856,12146.323,12145.989,,,False,-7816903.985,1694179.527,2949141.112,4643320.639,1667043.969,2904364.411,,,Tesla V100-SXM2-32GB,23329.25,32768.0,22742.0,493.18,385603.117,,,28.018,89.154,,,376.3310394367371,0.3648637814865319,192.0709999999999
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_V100,MTEST,AA,100000,True,1996.502,1982.822,1500.343,1500.048,483.113,469.969,False,-7541976.86,257420.004,380677.606,638097.61,192740.551,288573.18,62775.807,89908.985,Tesla V100-SXM2-32GB,13125.25,32768.0,12538.0,477.887,385600.145,5935.0,,,,,,319.60779904052185,0.40341790968312824,483.113
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_100000_aa_iqtree,GPU_V100,UFBOOT1000,AA,100000,True,2622.265,2604.696,1861.497,1860.356,746.112,730.011,False,-7541976.86,381241.066,460252.514,841493.5800000001,273006.516,313097.521,105372.29,144200.162,Tesla V100-SXM2-32GB,23861.25,32768.0,23274.0,881.32,385603.215,15204.0,,,,,,320.903333568499,0.45305285157374575,746.112
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_H200,UFBOOT1000,AA,1000,True,312.77,312.216,220.787,220.691,89.902,89.666,False,-77823.964,136284.807,39233.962,175518.769,95922.729,27505.708,39233.668,11413.41,NVIDIA H200,1104.688,143771.0,230.0,240.828,1031781.754,158.0,,,,,,561.175205422515,0.7764685667320286,89.902
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000len_ninit2_LGC10_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_V100,LGC10,AA,1000,True,647.362,647.096,640.324,640.134,,,False,-80578.84,83065.513,69498.455,152563.968,82154.413,68798.956,,,Tesla V100-SXM2-32GB,1495.25,32768.0,908.0,191.688,385600.188,,,,,,,235.67025559115302,0.5444635066125182,7.038000000000011
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000len_ninit2_MTEST_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_V100,MTEST,AA,1000,True,330.943,330.399,270.028,270.022,58.694,58.242,False,-77823.964,47718.035,20099.932,67817.967,38877.601,16243.421,8508.903,3722.899,Tesla V100-SXM2-32GB,693.25,32768.0,106.0,163.266,385600.121,62.0,,,,,,204.92340674980287,0.7036193668264931,58.694
output_more_tests_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000_aa_iqtree,GPU_V100,UFBOOT1000,AA,1000,True,419.194,418.696,289.721,289.597,127.154,126.795,False,-77823.964,58696.956,27000.253,85697.209,40486.029,18485.23,17805.427,8333.685,Tesla V100-SXM2-32GB,815.25,32768.0,228.0,232.852,385603.219,158.0,,,,,,204.43329102992885,0.6849342783147114,127.154
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_10000000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,10000000,True,90016.691,7505318.995,24614.843,2325284.935,48667.861,3733633.787,False,-578953728.317,61398099.42,,61398099.42,17103027.077,,32837118.433,,,,,,150858.527,515652.543,116465.0,,,,,,682.0746101409126,1.0,48667.861
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_10000000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,10000000,True,131414.096,10645968.353,53465.509,4911212.416,77409.91,5702664.59,False,-578953763.917,88272738.287,,88272738.287,36822261.133,,50937679.803,,,,,,349197.258,515652.516,325417.0,,,,,,671.714382047722,1.0,77409.91
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,1000000,True,3286.862,321701.052,1559.786,155235.469,1714.923,165295.667,False,-59208019.212,2282655.904,,2282655.904,1087858.325,,1182450.216,,,,,,15587.348,515652.566,12129.0,,,,,,694.4787776304572,1.0,1714.923
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,1000000,True,3627.698,356390.482,1507.0,152380.44,2093.06,202685.142,False,-59208019.212,2518467.521,,2518467.521,1051033.333,,1443525.313,,,,,,20812.621,515652.559,33892.0,,,,,,694.2329601306394,1.0,2093.06
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_100000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,100000,True,125.295,12205.345,86.063,8797.672,38.226,3312.971,False,-5692984.539,86197.907,,86197.907,59309.316,,25829.525,,,,,,1583.012,515652.531,1226.0,,,,,,687.9596711760246,1.0,38.226
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_100000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,100000,True,145.052,14077.505,87.665,8885.86,54.63,5059.286,False,-5692984.539,99689.903,,99689.903,60114.253,,37490.703,,,,,,2116.32,515652.531,3425.0,,,,,,687.2701031354273,1.0,54.63
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000len_ninit2_MIXGTR,CPU_SPR_OMP104,MIXGTR,DNA,1000,True,97.851,9497.072,94.204,9321.84,,,False,-59877.112,64384.643,,64384.643,62503.116,,,,,,,,25.555,515652.52,,,,,,,657.9865612001921,1.0,3.6470000000000056
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000len_ninit2_MTEST,CPU_SPR_OMP104,MTEST,DNA,1000,True,105.045,10410.647,96.094,9692.524,8.476,671.683,False,-56180.293,68417.723,,68417.723,63162.499,,4911.389,,,,,,75.984,515652.543,12.0,,,,,,651.3182255223951,1.0,8.476
output_more_tests_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_1000len_ninit2_UFBOOT1000,CPU_SPR_OMP104,UFBOOT1000,DNA,1000,True,59.661,5817.787,46.824,4770.496,12.052,968.969,False,-56180.293,39434.335,,39434.335,31315.544,,7380.486,,,,,,105.629,515652.531,35.0,,,,,,660.9734164697205,1.0,12.052
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_10000000len_ninit2_MTEST,CPU_CLX_OMP48,MTEST,DNA,10000000,True,214749.384,2313207.946,50113.149,2202046.031,99385.642,3384035.707,True,-578953728.317,21843124.699,,21843124.699,8881056.365,,32217942.115,,,,,,143553.957,193084.609,116465.0,,,,,,101.7144929225967,1.0,99385.642
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_10000000len_ninit2_UFBOOT1000,CPU_CLX_OMP48,UFBOOT1000,DNA,10000000,False,,,,,,,False,,,,,,,,,,,,,,192512.0,325417.0,,,,,,,,
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_1000000len_ninit2_MTEST,CPU_CLX_OMP48,MTEST,DNA,1000000,True,10527.736,465151.916,5347.862,247016.178,5143.456,216504.151,False,-59208019.212,4033973.894,,4033973.894,2101510.509,,1914829.735,,,,,,15485.613,193084.594,12129.0,,,,,,383.1758218481162,1.0,5143.456
output_more_tests_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_GTR-I-G4_100taxa_1000000len_ninit2_UFBOOT1000,CPU_CLX_OMP48,UFBOOT1000,DNA,1000000,True,11586.825,515143.389,5371.862,247993.268,6164.972,265592.984,False,-59208019.212,4522576.88,,4522576.88,2118001.096,,2377570.794,,,,,,20720.18,193084.566,33892.0,,,,,,390.3206339959393,1.0,6164.972
