data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
DNA,rooted,GTR+R4,7,-28.7871,-28.787,-28.787,3.0,0.007,0.035,-7097.8271,-7097.8271289338,-7097.827,1.0,0.078,0.12,True,5,251,True,both,-7069.040000000001,7069.040000000001,False,-2.0
DNA,rooted,GTR+R4,8,-17.9424,-17.942,-17.942,4.0,0.004,0.017,-7097.8271,-7097.8271289338,-7097.827,1.0,0.044,0.068,True,3,251,True,both,-7079.8847000000005,7079.8847000000005,False,-3.0
DNA,rooted,GTR+R4,9,-29.7766,-29.777,-29.777,8.0,0.009,0.019,-7097.8271,-7097.8271289338,-7097.827,1.0,0.047,0.065,True,5,251,True,both,-7068.0505,7068.0505,False,-7.0
DNA,rooted,GTR+R4,10,-21.9917,-21.992,-21.992,3.0,0.004,0.013,-7097.8271,-7097.8271289338,-7097.827,1.0,0.061,0.105,True,5,251,True,both,-7075.835400000001,7075.835400000001,False,-2.0
DNA,unrooted,GTR,1,-28.3494,-28.349,-28.349,7.0,0.007,0.041,-28.3491,-28.349,-28.349,7.0,0.09,0.103,False,0,0,False,both,0.0002999999999993008,0.0002999999999993008,True,0.0
DNA,unrooted,GTR,2,-19.0819,-19.082,-19.082,3.0,0.001,0.013,-19.0819,-19.082,-19.082,3.0,0.028,0.047,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,3,-21.3187,-21.319,-21.319,11.0,0.003,0.011,-21.3193,-21.319,-21.319,11.0,0.063,0.099,False,0,0,False,both,-0.0005999999999986017,0.0005999999999986017,True,0.0
DNA,unrooted,GTR,4,-19.7366,-19.737,-19.737,2.0,0.001,0.014,-19.7366,-19.737,-19.737,2.0,0.025,0.048,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,5,-21.984,-21.984,-21.984,8.0,0.002,0.028,-21.9801,-21.98,-21.98,8.0,0.058,0.082,False,0,0,False,both,0.003900000000001569,0.003900000000001569,True,0.0
DNA,unrooted,GTR,6,-30.3326,-30.333,-30.333,6.0,0.002,0.014,-30.3326,-30.333,-30.333,6.0,0.056,0.065,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,7,-20.9363,-20.936,-20.936,4.0,0.001,0.009,-20.9363,-20.936,-20.936,4.0,0.041,0.058,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,8,-31.196,-31.196,-31.196,4.0,0.001,0.008,-31.196,-31.196,-31.196,4.0,0.05,0.092,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,9,-15.7751,-15.775,-15.775,3.0,0.001,0.008,-15.7751,-15.775,-15.775,3.0,0.027,0.063,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,10,-18.67,-18.67,-18.67,3.0,0.001,0.008,-18.67,-18.67,-18.67,3.0,0.026,0.045,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,1,-15.4242,-15.424,-15.424,3.0,0.002,0.018,-15.4242,-15.424,-15.424,3.0,0.051,0.085,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,2,-20.0359,-20.036,-20.036,3.0,0.002,0.01,-20.0359,-20.036,-20.036,3.0,0.056,0.074,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,3,-31.2465,-31.247,-31.247,4.0,0.002,0.01,-31.2465,-31.247,-31.247,4.0,0.06,0.095,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,4,-18.6068,-18.607,-18.607,6.0,0.003,0.01,-18.6068,-18.607,-18.607,6.0,0.078,0.101,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,5,-13.4918,-13.492,-13.492,2.0,0.001,0.008,-13.4918,-13.492,-13.492,2.0,0.035,0.076,False,0,0,False,both,0.0,0.0,True,0.0
