wall_total_sec,wall_treesearch_sec,modelfinder_wall_sec,parsimony_wall_sec,init_parsimony_sec,data_type,length,config_label,log_path,wall_total_min,wall_treesearch_min,modelfinder_wall_min,parsimony_wall_min,init_parsimony_min
4523.878,2472.475,2019.68,731.172,5.626,DNA,1000000,GPU A100,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/DNA/len_1000000/output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree.log,75.39796666666666,41.20791666666666,33.66133333333333,12.186200000000001,0.09376666666666668
2673.447,1571.067,1083.932,657.201,4.904,DNA,1000000,GPU H200,/Users/u7826985/Projects/Nvidia/results/2026_05_04_testing_gpus/DNA/len_1000000/output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree.log,44.55745,26.184450000000002,18.065533333333335,10.95335,0.08173333333333334
50416.102,26118.849,22888.219,8149.48,65.626,DNA,10000000,GPU H200,/Users/u7826985/Projects/Nvidia/results/2026_05_17_speed_cpus/output_10M_DNA_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_10000000len_OPENACC_run1_tree_1_10000000_iqtree.log,840.2683666666667,435.31415,381.4703166666667,135.82466666666667,1.0937666666666668
2594.952,1843.033,738.714,366.602,3.153,AA,100000,GPU V100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/AA/len_100000/output_v100_test_after_opt_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,43.2492,30.717216666666666,12.311900000000001,6.110033333333333,0.05255
2116.696,1516.194,590.223,259.78,2.279,AA,100000,GPU A100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/AA/len_100000/output_a100_test_after_opt_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_A100_LG-I-G4_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,35.27826666666667,25.2699,9.83705,4.329666666666666,0.037983333333333334
1289.222,930.025,352.426,148.586,1.295,AA,100000,GPU H200 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/AA/len_100000/output_h200_test_after_opt_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,21.487033333333333,15.500416666666666,5.873766666666667,2.4764333333333335,0.021583333333333333
33600.214,26782.879,6685.965,9374.988,109.687,AA,1000000,GPU V100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/AA/len_1000000/output_v100_test_after_opt_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log,560.0035666666666,446.3813166666667,111.43275,156.2498,1.8281166666666666
17991.352,12698.446,5207.476,3207.088,33.72,AA,1000000,GPU A100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/AA/len_1000000/output_a100_test_after_opt_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_A100_LG-I-G4_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log,299.85586666666666,211.64076666666668,86.79126666666666,53.45146666666667,0.5619999999999999
12160.531,8857.07,3247.236,3199.15,33.871,AA,1000000,GPU H200 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/AA/len_1000000/output_h200_test_after_opt_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log,202.67551666666668,147.61783333333332,54.120599999999996,53.31916666666667,0.5645166666666667
911.262,510.268,396.848,78.933,0.391,DNA,100000,GPU V100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/DNA/len_100000/output_v100_test_after_opt_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log,15.1877,8.504466666666666,6.614133333333333,1.3155500000000002,0.006516666666666667
776.271,396.237,376.741,60.209,0.416,DNA,100000,GPU A100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/DNA/len_100000/output_a100_test_after_opt_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_A100_GTR-I-G4_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log,12.93785,6.60395,6.279016666666666,1.0034833333333333,0.006933333333333333
470.986,247.062,221.963,53.999,0.333,DNA,100000,GPU H200 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/DNA/len_100000/output_h200_test_after_opt_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log,7.849766666666667,4.1177,3.699383333333333,0.8999833333333334,0.00555
6803.995,4041.296,2719.762,1151.698,8.643,DNA,1000000,GPU V100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/DNA/len_1000000/output_v100_test_after_opt_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree.log,113.39991666666667,67.35493333333334,45.32936666666667,19.19496666666667,0.14405
3852.509,2141.864,1681.295,719.088,5.557,DNA,1000000,GPU A100 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/DNA/len_1000000/output_a100_test_after_opt_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_A100_GTR-I-G4_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree.log,64.20848333333333,35.69773333333333,28.021583333333336,11.9848,0.09261666666666667
2526.856,1498.631,1009.071,659.644,4.946,DNA,1000000,GPU H200 opt,/Users/u7826985/Projects/Nvidia/results/2026_05_19_opt_results/DNA/len_1000000/output_h200_test_after_opt_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree.log,42.11426666666667,24.977183333333336,16.81785,10.994066666666667,0.08243333333333333
