data_type,exec_type,length,threads,compiler,wall_total_sec,cpu_total_sec,wall_treesearch_sec,best_lnl,iterations,completed,model,command,wall_total_min,wall_treesearch_min,length_label,config_label
DNA,OMP_10,1000000,10,Clang,30204.307,274624.827,12629.311,-59208019.212,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_1000000len -seed 1 -nt 10,503.4051166666667,210.48851666666667,1M,Clang 10T
DNA,OMP_10,100000,10,Clang,1344.825,12589.148,886.545,-5692984.539,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_100000len -seed 1 -nt 10,22.41375,14.775749999999999,100K,Clang 10T
DNA,OMP_10,10000,10,Clang,128.683,1273.029,88.846,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_10000len -seed 1 -nt 10,2.1447166666666666,1.4807666666666668,10K,Clang 10T
DNA,OMP_48,1000000,48,Clang,12660.557,553513.852,6630.427,-59208019.212,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_1000000len -seed 1 -nt 48,211.00928333333334,110.50711666666666,1M,Clang 48T
DNA,OMP_48,100000,48,Clang,656.138,27876.034,521.357,-5692984.539,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_100000len -seed 1 -nt 48,10.935633333333334,8.689283333333332,100K,Clang 48T
DNA,OMP_48,10000,48,Clang,188.134,8800.694,150.73,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_10000len -seed 1 -nt 48,3.1355666666666666,2.5121666666666664,10K,Clang 48T
AA,OMP_10,10000,10,GCC,1571.782,14827.616,771.906,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_aa -seed 1 -nt 10,26.196366666666666,12.8651,10K,GCC 10T
AA,OMP_48,10000,48,GCC,658.14,28694.751,422.885,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_aa -seed 1 -nt 48,10.969,7.0480833333333335,10K,GCC 48T
AA,VANILA,10000,1,GCC,11375.955,11275.665,6326.57,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_VANILA_taxa100_run1_tree_1_10000_iqtree3_VANILA_run1_tree_1_10000_aa_iqtree -seed 1,189.59925,105.44283333333333,10K,GCC 1T
AA,OMP_10,100000,10,GCC,12406.564,117587.933,7872.139,-7541976.858,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_aa -seed 1 -nt 10,206.77606666666668,131.20231666666666,100K,GCC 10T
AA,OMP_48,100000,48,GCC,4704.677,197748.19,3306.413,-7541976.86,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_aa -seed 1 -nt 48,78.41128333333333,55.106883333333336,100K,GCC 48T
DNA,OMP_10,10000,10,GCC,236.592,2242.276,163.944,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3 -seed 1 -nt 10,3.9432,2.7323999999999997,10K,GCC 10T
DNA,OMP_48,10000,48,GCC,295.288,13534.969,253.312,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3 -seed 1 -nt 48,4.921466666666666,4.221866666666667,10K,GCC 48T
DNA,VANILA,10000,1,GCC,898.374,892.403,548.577,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_10000_iqtree3_VANILA_run1_tree_1_10000_iqtree -seed 1,14.972900000000001,9.14295,10K,GCC 1T
DNA,OMP_10,100000,10,GCC,1429.376,13060.691,958.519,-5692984.539,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3 -seed 1 -nt 10,23.82293333333333,15.975316666666666,100K,GCC 10T
DNA,OMP_48,100000,48,GCC,967.299,40770.911,744.04,-5692984.539,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3 -seed 1 -nt 48,16.12165,12.400666666666666,100K,GCC 48T
DNA,VANILA,100000,1,GCC,9299.013,9218.553,5511.531,-5692984.539,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_100000_iqtree3_VANILA_run1_tree_1_100000_iqtree -seed 1,154.98355,91.85885,100K,GCC 1T
DNA,OMP_10,1000000,10,GCC,29249.823,264218.439,13462.48,-59208019.212,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3 -seed 1 -nt 10,487.49705,224.37466666666666,1M,GCC 10T
