Data Type,Config,Length,TreeSearch (sec),TreeSearch (min),TreeSearch (hm),Command
DNA,GPU V100,100K,581.9,9.7,10m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1
DNA,Clang 10T,10K,88.8,1.5,1m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_10000len -seed 1 -nt 10
DNA,Clang 1T,10K,438.5,7.3,7m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_iqtree -seed 1
DNA,Clang 48T,10K,150.7,2.5,3m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_10000len -seed 1 -nt 48
DNA,GCC 10T,10K,163.9,2.7,3m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3 -seed 1 -nt 10
DNA,GCC 1T,10K,548.6,9.1,9m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_10000_iqtree3_VANILA_run1_tree_1_10000_iqtree -seed 1
DNA,GCC 48T,10K,253.3,4.2,4m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3 -seed 1 -nt 48
DNA,GPU A100,10K,435.8,7.3,7m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1
DNA,GPU H200,10K,201.6,3.4,3m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1
DNA,GPU V100,10K,252.8,4.2,4m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1
DNA,Clang 10T,1M,12629.3,210.5,3h30m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_1000000len -seed 1 -nt 10
DNA,Clang 48T,1M,6630.4,110.5,1h51m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_1000000len -seed 1 -nt 48
DNA,GCC 10T,1M,13462.5,224.4,3h44m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3 -seed 1 -nt 10
DNA,GCC 1T,1M,66652.1,1110.9,18h31m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_1000000_iqtree3_VANILA_run1_tree_1_1000000_iqtree -seed 1
DNA,GCC 48T,1M,8855.1,147.6,2h28m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3 -seed 1 -nt 48
DNA,GPU A100,1M,2472.5,41.2,41m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1
DNA,GPU H200,1M,1571.1,26.2,26m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1
DNA,GPU V100,1M,4102.9,68.4,1h08m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1
