Data Type,Config,Length,Wall Total (sec),Wall Total (min),Wall Total (hm),Command
DNA,GPU H200,10K,275.3,4.6,5m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1
DNA,GPU V100,10K,393.4,6.6,7m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1
DNA,Clang 10T,1M,30204.3,503.4,8h23m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_1000000len -seed 1 -nt 10
DNA,Clang 48T,1M,12660.6,211.0,3h31m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_1000000len -seed 1 -nt 48
DNA,GCC 10T,1M,29249.8,487.5,8h07m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3 -seed 1 -nt 10
DNA,GCC 1T,1M,160646.3,2677.4,44h37m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_1000000_iqtree3_VANILA_run1_tree_1_1000000_iqtree -seed 1
DNA,GCC 48T,1M,16874.5,281.2,4h41m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3 -seed 1 -nt 48
DNA,GPU A100,1M,4523.9,75.4,1h15m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1
DNA,GPU H200,1M,2673.4,44.6,45m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1
DNA,GPU V100,1M,6975.1,116.3,1h56m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1
