data_type,tree_type,model,tree_num,build,is_verbose,log_likelihood,rates_info
AA,rooted,LG+I,tree_2,VANILA,False,-47.2156,0         0              0.0000 |   1         1.0000         1.0000
AA,rooted,LG+I,tree_3,OPENACC,False,-40.3739,0         0              0.6243 |   1         2.6617         0.3757
AA,rooted,LG+I,tree_3,VANILA,False,-40.3739,0         0              0.6243 |   1         2.6617         0.3757
AA,rooted,LG+I,tree_4,OPENACC,False,-53.4773,0         0              0.1352 |   1         1.1563         0.8648
AA,rooted,LG+I,tree_4,VANILA,False,-53.4773,0         0              0.1352 |   1         1.1563         0.8648
AA,rooted,LG+I,tree_5,OPENACC,False,-57.3439,0         0              0.2541 |   1         1.3406         0.7459
AA,rooted,LG+I,tree_5,VANILA,False,-57.3439,0         0              0.2541 |   1         1.3406         0.7459
AA,rooted,LG+I,tree_6,OPENACC,False,-51.0907,0         0              0.0000 |   1         1.0000         1.0000
AA,rooted,LG+I,tree_6,VANILA,False,-51.0907,0         0              0.0000 |   1         1.0000         1.0000
AA,rooted,LG+I,tree_7,OPENACC,False,-56.392,0         0              0.0032 |   1         1.0032         0.9968
AA,rooted,LG+I,tree_7,VANILA,False,-56.392,0         0              0.0032 |   1         1.0032         0.9968
AA,rooted,LG+I,tree_8,OPENACC,False,-41.0619,0         0              0.0000 |   1         1.0000         1.0000
AA,rooted,LG+I,tree_8,VANILA,False,-41.0619,0         0              0.0000 |   1         1.0000         1.0000
AA,rooted,LG+I,tree_9,OPENACC,False,-28.9629,0         0              0.9999 |   1         7841.3613      0.0001
AA,rooted,LG+I,tree_9,VANILA,False,-28.9629,0         0              0.9999 |   1         7841.3613      0.0001
AA,rooted,LG+I+G4,tree_1,OPENACC,False,-44.8068,0         0              0.5198 |   1         0.0006         0.1201 |   2         0.0507         0.1201 |   3         0.7011         0.1201 |   4         7.5769         0.1201
AA,rooted,LG+I+G4,tree_1,VANILA,False,-44.8068,0         0              0.5198 |   1         0.0006         0.1201 |   2         0.0507         0.1201 |   3         0.7011         0.1201 |   4         7.5769         0.1201
AA,rooted,LG+I+G4,tree_10,OPENACC,False,-42.3753,0         0              0.0000 |   1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0000         0.2500 |   4         4.0000         0.2500
AA,rooted,LG+I+G4,tree_10,VANILA,False,-42.3753,0         0              0.0000 |   1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0000         0.2500 |   4         4.0000         0.2500
AA,rooted,LG+I+G4,tree_2,OPENACC,False,-45.2131,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+I+G4,tree_2,VANILA,False,-45.2131,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+I+G4,tree_3,OPENACC,False,-28.9853,0         0              1.0000 |   1         32141851.3842  0.0000 |   2         116655494.6695 0.0000 |   3         250497838.1258 0.0000 |   4         611269765.9849 0.0000
AA,rooted,LG+I+G4,tree_3,VANILA,False,-28.9853,0         0              1.0000 |   1         32141852.2858  0.0000 |   2         116655497.9415 0.0000 |   3         250497845.1520 0.0000 |   4         611269783.1303 0.0000
AA,rooted,LG+I+G4,tree_4,OPENACC,False,-46.584,0         0              0.6798 |   1         2.9981         0.0801 |   2         3.0898         0.0801 |   3         3.1540         0.0801 |   4         3.2493         0.0801
AA,rooted,LG+I+G4,tree_4,VANILA,False,-46.584,0         0              0.6798 |   1         2.9981         0.0801 |   2         3.0898         0.0801 |   3         3.1540         0.0801 |   4         3.2493         0.0801
AA,rooted,LG+I+G4,tree_5,OPENACC,False,-36.2596,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+I+G4,tree_5,VANILA,False,-36.2596,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+I+G4,tree_6,OPENACC,False,-42.1374,0         0              0.7013 |   1         3.2140         0.0747 |   2         3.3124         0.0747 |   3         3.3811         0.0747 |   4         3.4833         0.0747
AA,rooted,LG+I+G4,tree_6,VANILA,False,-42.1374,0         0              0.7013 |   1         3.2140         0.0747 |   2         3.3124         0.0747 |   3         3.3811         0.0747 |   4         3.4833         0.0747
AA,rooted,LG+I+G4,tree_7,OPENACC,False,-46.5342,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+I+G4,tree_7,VANILA,False,-46.5342,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+I+G4,tree_8,OPENACC,False,-36.8361,0         0              0.8943 |   1         8.9106         0.0264 |   2         9.3133         0.0264 |   3         9.5975         0.0264 |   4         10.0233        0.0264
AA,rooted,LG+I+G4,tree_8,VANILA,False,-36.8361,0         0              0.8943 |   1         8.9104         0.0264 |   2         9.3132         0.0264 |   3         9.5975         0.0264 |   4         10.0235        0.0264
AA,rooted,LG+I+G4,tree_9,OPENACC,False,-48.2382,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+I+G4,tree_9,VANILA,False,-48.2382,0         0              0.0000 |   1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+R4,tree_1,OPENACC,False,-60.6027,"(0.2182,0.2208) (0.2471,0.7465) (0.2733,1.2704) (0.2614,1.6075) [1         0.2208         0.2182 |   2         0.7465         0.2471 |   3         1.2704         0.2733 |   4         1.6075         0.2614]"
AA,rooted,LG+R4,tree_1,OPENACC,True,-60.602739,"(0.218246,0.220824) (0.247090,0.746512) (0.273252,1.270397) (0.261412,1.607471) [1         0.220824       0.218246 |   2         0.746512       0.247090 |   3         1.270397       0.273252 |   4         1.607471       0.261412]"
AA,rooted,LG+R4,tree_1,VANILA,False,-60.6027,"(0.2182,0.2208) (0.2471,0.7465) (0.2733,1.2704) (0.2614,1.6075) [1         0.2208         0.2182 |   2         0.7465         0.2471 |   3         1.2704         0.2733 |   4         1.6075         0.2614]"
AA,rooted,LG+R4,tree_1,VANILA,True,-60.602739,"(0.218246,0.220824) (0.247090,0.746512) (0.273252,1.270397) (0.261412,1.607471) [1         0.220824       0.218246 |   2         0.746512       0.247090 |   3         1.270397       0.273252 |   4         1.607471       0.261412]"
AA,rooted,LG+R4,tree_10,OPENACC,False,-53.2021,"(0.2416,0.1506) (0.2409,0.5793) (0.2574,1.3504) (0.2602,1.8315) [1         0.1506         0.2416 |   2         0.5793         0.2409 |   3         1.3504         0.2574 |   4         1.8315         0.2602]"
AA,rooted,LG+R4,tree_10,OPENACC,True,-53.202111,"(0.241581,0.150641) (0.240877,0.579293) (0.257357,1.350445) (0.260186,1.831476) [1         0.150641       0.241581 |   2         0.579293       0.240877 |   3         1.350445       0.257357 |   4         1.831476       0.260186]"
