data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
DNA,rooted,GTR+R4,3,-23.9302,-23.93,-23.93,3.0,0.006,0.046,-7097.8271,-7097.8271289338,-7097.827,1.0,0.045,0.054,True,5,251,True,both,-7073.896900000001,7073.896900000001,False,-2.0
DNA,rooted,GTR+R4,4,-26.2633,-26.263,-26.263,7.0,0.019,0.065,-7097.8271,-7097.8271289338,-7097.827,1.0,0.062,0.074,True,5,251,True,both,-7071.563800000001,7071.563800000001,False,-6.0
DNA,rooted,GTR+R4,5,-15.7925,-15.793,-15.793,4.0,0.006,0.027,-7097.8271,-7097.8271289338,-7097.827,1.0,0.034,0.225,True,3,251,True,both,-7082.034600000001,7082.034600000001,False,-3.0
DNA,rooted,GTR+R4,6,-17.4709,-17.471,-17.471,12.0,0.014,0.028,-7097.8271,-7097.8271289338,-7097.827,1.0,0.046,0.066,True,5,251,True,both,-7080.3562,7080.3562,False,-11.0
DNA,rooted,GTR+R4,7,-28.7871,-28.787,-28.787,3.0,0.009,0.028,-7097.8271,-7097.8271289338,-7097.827,1.0,0.074,0.09,True,5,251,True,both,-7069.040000000001,7069.040000000001,False,-2.0
DNA,rooted,GTR+R4,8,-17.9424,-17.942,-17.942,4.0,0.008,0.035,-7097.8271,-7097.8271289338,-7097.827,1.0,0.036,0.044,True,3,251,True,both,-7079.8847000000005,7079.8847000000005,False,-3.0
DNA,rooted,GTR+R4,9,-29.7766,-29.777,-29.777,8.0,0.011,0.024,-7097.8271,-7097.8271289338,-7097.827,1.0,0.047,0.055,True,5,251,True,both,-7068.0505,7068.0505,False,-7.0
DNA,rooted,GTR+R4,10,-21.9917,-21.992,-21.992,3.0,0.006,0.039,-7097.8271,-7097.8271289338,-7097.827,1.0,0.054,0.229,True,5,251,True,both,-7075.835400000001,7075.835400000001,False,-2.0
DNA,unrooted,GTR,1,-28.3494,-28.349,-28.349,7.0,0.003,0.01,-28.3491,-28.349,-28.349,7.0,0.1,0.134,False,0,0,False,both,0.0002999999999993008,0.0002999999999993008,True,0.0
DNA,unrooted,GTR,2,-19.0819,-19.082,-19.082,3.0,0.001,0.008,-19.0819,-19.082,-19.082,3.0,0.03,0.046,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,3,-21.3187,-21.319,-21.319,11.0,0.003,0.01,-21.3193,-21.319,-21.319,11.0,0.065,0.082,False,0,0,False,both,-0.0005999999999986017,0.0005999999999986017,True,0.0
DNA,unrooted,GTR,4,-19.7366,-19.737,-19.737,2.0,0.001,0.009,-19.7366,-19.737,-19.737,2.0,0.024,0.038,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,5,-21.984,-21.984,-21.984,8.0,0.002,0.01,-21.9801,-21.98,-21.98,8.0,0.067,0.091,False,0,0,False,both,0.003900000000001569,0.003900000000001569,True,0.0
DNA,unrooted,GTR,6,-30.3326,-30.333,-30.333,6.0,0.002,0.009,-30.3326,-30.333,-30.333,6.0,0.067,0.093,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,7,-20.9363,-20.936,-20.936,4.0,0.001,0.009,-20.9363,-20.936,-20.936,4.0,0.05,0.071,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,8,-31.196,-31.196,-31.196,4.0,0.001,0.009,-31.196,-31.196,-31.196,4.0,0.054,0.091,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,9,-15.7751,-15.775,-15.775,3.0,0.001,0.008,-15.7751,-15.775,-15.775,3.0,0.025,0.036,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR,10,-18.67,-18.67,-18.67,3.0,0.001,0.008,-18.67,-18.67,-18.67,3.0,0.022,0.03,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,1,-15.4242,-15.424,-15.424,3.0,0.002,0.009,-15.4242,-15.424,-15.424,3.0,0.052,0.087,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,2,-20.0359,-20.036,-20.036,3.0,0.002,0.009,-20.0359,-20.036,-20.036,3.0,0.058,0.085,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,3,-31.2465,-31.247,-31.247,4.0,0.002,0.009,-31.2465,-31.247,-31.247,4.0,0.059,0.077,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,4,-18.6068,-18.607,-18.607,6.0,0.003,0.01,-18.6068,-18.607,-18.607,6.0,0.073,0.091,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,5,-13.4918,-13.492,-13.492,2.0,0.001,0.008,-13.4918,-13.492,-13.492,2.0,0.027,0.043,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,6,-10.8891,-10.889,-10.889,2.0,0.001,0.007,-10.8891,-10.889,-10.889,2.0,0.017,0.037,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,7,-27.0571,-27.057,-27.057,10.0,0.006,0.013,-27.0571,-27.057,-27.057,10.0,0.139,0.157,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,8,-23.0022,-23.002,-23.002,5.0,0.003,0.01,-23.0022,-23.002,-23.002,5.0,0.067,0.075,False,0,0,False,both,0.0,0.0,True,0.0
