data_type,topology,model,tree,ll_OPENACC,ll_VANILA,ll_diff,underflow_OPENACC,underflow_VANILA,pinvar_OPENACC,pinvar_VANILA,gamma_OPENACC,gamma_VANILA,opt_time_OPENACC,opt_time_VANILA
DNA,unrooted,GTR+G4,tree_1,-15.4242,-15.4242,0.0,0,0,,,998.5,998.5,0.054,0.003
DNA,unrooted,GTR+G4,tree_10,-30.5394,-30.5395,9.999999999976694e-05,0,0,,,998.6,998.6,0.09,0.004
DNA,unrooted,GTR+G4,tree_2,-20.0359,-20.0359,0.0,0,0,,,998.5,998.5,0.065,0.002
DNA,unrooted,GTR+G4,tree_3,-31.2465,-31.2465,0.0,0,0,,,998.4,998.4,0.066,0.003
DNA,unrooted,GTR+G4,tree_4,-18.6068,-18.6068,0.0,0,0,,,0.02002,0.02002,0.084,0.004
DNA,unrooted,GTR+G4,tree_5,-13.4918,-13.4918,0.0,0,0,,,998.3,998.3,0.037,0.001
DNA,unrooted,GTR+G4,tree_6,-10.8891,-10.8891,0.0,0,0,,,0.0214,0.0207,0.024,0.001
DNA,unrooted,GTR+G4,tree_7,-27.0571,-27.0571,0.0,0,0,,,0.3212,0.3211,0.159,0.006
DNA,unrooted,GTR+G4,tree_8,-23.0022,-23.0022,0.0,0,0,,,998.7,998.7,0.076,0.004
DNA,unrooted,GTR+G4,tree_9,-28.1319,-28.1319,0.0,0,0,,,998.4,998.4,0.077,0.004
DNA,unrooted,GTR+I,tree_1,-22.4664,-22.4664,0.0,0,0,0.7716,0.7716,,,0.069,0.003
DNA,unrooted,GTR+I,tree_10,-32.2538,-32.2538,0.0,0,0,1.0,1.0,,,0.193,0.017
DNA,unrooted,GTR+I,tree_2,-34.6638,-34.6638,0.0,0,0,0.1755,0.1755,,,0.121,0.009
DNA,unrooted,GTR+I,tree_3,-24.437,-24.437,0.0,0,0,1.0,1.0,,,0.053,0.004
DNA,unrooted,GTR+I,tree_4,-17.9419,-17.9419,0.0,0,0,1.0,1.0,,,0.055,0.004
DNA,unrooted,GTR+I,tree_5,-24.1045,-24.1045,0.0,0,0,0.05124,0.05124,,,0.038,0.003
DNA,unrooted,GTR+I,tree_6,-22.6284,-22.6284,0.0,0,0,1.0,1.0,,,0.048,0.003
DNA,unrooted,GTR+I,tree_7,-25.9965,-25.9965,0.0,0,0,1.0,1.0,,,0.065,0.004
DNA,unrooted,GTR+I,tree_8,-19.9932,-19.9932,0.0,0,0,1.0,1.0,,,0.089,0.008
DNA,unrooted,GTR+I,tree_9,-15.7807,-15.7807,0.0,0,0,1.0,1.0,,,0.049,0.003
DNA,unrooted,GTR+I+G4,tree_1,-17.6944,-17.6944,0.0,0,0,7.751,7.751,998.4,998.4,0.903,0.046
DNA,unrooted,GTR+I+G4,tree_10,-25.2873,-25.2858,0.0015000000000000568,0,0,0.4554,0.4555,998.4,998.4,0.401,0.02
DNA,unrooted,GTR+I+G4,tree_2,-24.4935,-24.4936,9.999999999976694e-05,0,0,0.3102,0.3108,998.4,998.4,0.585,0.037
DNA,unrooted,GTR+I+G4,tree_3,-15.759,-15.759,0.0,0,0,9.802,9.802,998.4,998.4,0.35,0.024
DNA,unrooted,GTR+I+G4,tree_4,-12.6631,-12.6631,0.0,0,0,9.898,9.898,998.4,998.4,0.361,0.012
DNA,unrooted,GTR+I+G4,tree_5,-27.6277,-27.6278,9.999999999976694e-05,0,0,0.2374,0.2373,998.4,998.4,1.064,0.055
DNA,unrooted,GTR+I+G4,tree_6,-33.0592,-33.0592,0.0,0,0,4.703,4.703,1.474,1.474,0.739,0.045
DNA,unrooted,GTR+I+G4,tree_7,-21.3765,-21.3765,0.0,0,0,8.103,8.103,998.4,998.4,0.76,0.035
DNA,unrooted,GTR+I+G4,tree_8,-37.0014,-37.0014,0.0,0,0,3.414,3.415,998.4,998.4,1.379,0.068
DNA,unrooted,GTR+I+G4,tree_9,-35.5535,-35.5528,0.0007000000000019213,0,0,0.01197,0.01188,998.9,998.8,1.195,0.056
DNA,unrooted,GTR+R4,tree_1,-27.5626,-27.5626,0.0,0,0,,,,,0.058,0.007
DNA,unrooted,GTR+R4,tree_10,-19.8479,-19.7978,0.05010000000000048,0,0,,,,,0.261,0.026
DNA,unrooted,GTR+R4,tree_2,-30.2851,-26.4594,3.825700000000001,0,0,,,,,0.043,0.033
DNA,unrooted,GTR+R4,tree_3,-28.9792,-28.9404,0.03879999999999839,0,0,,,,,0.108,0.014
DNA,unrooted,GTR+R4,tree_4,-24.6557,-24.2497,0.4059999999999988,0,0,,,,,0.067,0.016
DNA,unrooted,GTR+R4,tree_5,-20.662,-20.6613,0.0006999999999983686,0,0,,,,,0.093,0.014
DNA,unrooted,GTR+R4,tree_6,-18.4531,-18.461,0.007899999999999352,0,0,,,,,0.054,0.01
DNA,unrooted,GTR+R4,tree_7,-39.0562,-38.0644,0.9917999999999978,0,0,,,,,0.106,0.025
DNA,unrooted,GTR+R4,tree_8,-13.4917,-13.4918,9.999999999976694e-05,0,0,,,,,0.05,0.004
DNA,unrooted,GTR+R4,tree_9,-26.2491,-26.2491,0.0,0,0,,,,,0.057,0.01
AA,rooted,LG,tree_1,-31.9526,-31.9526,0.0,0,0,,,,,0.007,0.001
AA,rooted,LG,tree_10,-33.8234,-33.8234,0.0,0,0,,,,,0.012,0.001
AA,rooted,LG,tree_2,-52.7283,-52.7283,0.0,0,0,,,,,0.01,0.001
AA,rooted,LG,tree_3,-44.7702,-44.7702,0.0,0,0,,,,,0.013,0.001
AA,rooted,LG,tree_4,-64.1872,-64.1872,0.0,0,0,,,,,0.009,0.0
AA,rooted,LG,tree_5,-31.4485,-31.4485,0.0,0,0,,,,,0.013,0.001
AA,rooted,LG,tree_6,-58.1344,-58.1344,0.0,0,0,,,,,0.014,0.001
AA,rooted,LG,tree_7,-62.1876,-62.1876,0.0,0,0,,,,,0.01,0.001
AA,rooted,LG,tree_8,-49.228,-49.228,0.0,0,0,,,,,0.011,0.001
AA,rooted,LG,tree_9,-58.1418,-58.1418,0.0,0,0,,,,,0.012,0.001
AA,rooted,LG+C60,tree_1,-86.653,-48.411,38.242000000000004,0,0,,,0.4478,1.5918,0.607,0.166
AA,rooted,LG+C60,tree_10,-79.0731,-34.5295,44.5436,0,0,,,0.6426,0.02,0.453,0.19
AA,rooted,LG+C60,tree_2,-87.7048,-46.7955,40.90930000000001,0,0,,,998.4482,0.1888,0.553,0.276
AA,rooted,LG+C60,tree_3,-71.9325,-38.2773,33.65520000000001,0,0,,,998.4476,998.4397,0.381,0.13
AA,rooted,LG+C60,tree_4,-89.5002,-60.1356,29.36460000000001,0,0,,,998.4468,1.2329,0.584,0.162
AA,rooted,LG+C60,tree_5,-93.4043,-55.6071,37.797200000000004,0,0,,,998.448,998.6036,0.577,0.219
AA,rooted,LG+C60,tree_6,-70.8952,-45.3339,25.561300000000003,0,0,,,998.4475,998.4444,0.58,0.179
AA,rooted,LG+C60,tree_7,-96.2841,-42.8248,53.45929999999999,0,0,,,998.4482,0.1497,0.581,0.345
AA,rooted,LG+C60,tree_8,-66.6042,-30.7472,35.857000000000006,0,0,,,0.2321,998.4465,0.461,0.082
AA,rooted,LG+C60,tree_9,-84.6761,-41.3954,43.2807,0,0,,,998.448,998.4431,0.561,0.178
AA,rooted,LG+G4,tree_1,-42.6132,-42.6132,0.0,0,0,,,1.2683,1.2683,0.04,0.004
AA,rooted,LG+G4,tree_10,-52.2317,-52.2317,0.0,0,0,,,0.2137,0.2137,0.052,0.004
AA,rooted,LG+G4,tree_2,-43.5726,-43.5726,0.0,0,0,,,998.435,998.435,0.049,0.003
AA,rooted,LG+G4,tree_3,-34.2152,-34.2152,0.0,0,0,,,998.4472,998.4472,0.038,0.003
AA,rooted,LG+G4,tree_4,-58.3442,-58.3442,0.0,0,0,,,1.099,1.099,0.035,0.002
AA,rooted,LG+G4,tree_5,-50.6037,-50.6037,0.0,0,0,,,0.7969,0.7969,0.038,0.003
AA,rooted,LG+G4,tree_6,-51.8538,-51.8538,0.0,0,0,,,0.2986,0.2986,0.06,0.005
AA,rooted,LG+G4,tree_7,-66.5284,-66.5284,0.0,0,0,,,28.4049,28.4049,0.049,0.004
AA,rooted,LG+G4,tree_8,-45.1632,-45.1632,0.0,0,0,,,0.057,0.057,0.064,0.004
AA,rooted,LG+G4,tree_9,-28.2178,-28.2178,0.0,0,0,,,0.0213,0.0204,0.035,0.003
