data_type,tree_type,model,tree,backend,run,filename,walltime,cputime,log_likelihood,tree_length,opt_time,opt_rounds,n_underflow,first_eval_sec,overhead
AA,unrooted,LG,tree_2,OMP_48,6,output_banchmark_bl_estimation_AA_LG_OMP_48_run6_tree_2_1000000_iqtree3_aa.log,11.418,445.763,-90504713.177,20.312,10.183,1,0,,1.2349999999999994
AA,unrooted,LG,tree_2,OMP_10,3,output_banchmark_bl_estimation_AA_LG_OMP_10_run3_tree_2_1000000_iqtree3_aa.log,29.796,281.026,-90504713.177,20.312,28.539,1,0,,1.256999999999998
AA,unrooted,LG,tree_2,VANILA,1,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run1_tree_2_1000000_aa_iqtree.log,212.665,206.366,-90504713.177,20.312,209.917,1,0,,2.7479999999999905
AA,unrooted,LG,tree_2,OMP_48,1,output_banchmark_bl_estimation_AA_LG_OMP_48_run1_tree_2_1000000_iqtree3_aa.log,11.656,452.497,-90504713.177,20.312,10.45,1,0,,1.2060000000000013
AA,unrooted,LG,tree_2,OMP_48,10,output_banchmark_bl_estimation_AA_LG_OMP_48_run10_tree_2_1000000_iqtree3_aa.log,13.348,468.661,-90504713.177,20.312,12.122,1,0,,1.2260000000000009
AA,unrooted,LG,tree_2,OMP_48,7,output_banchmark_bl_estimation_AA_LG_OMP_48_run7_tree_2_1000000_iqtree3_aa.log,11.589,450.793,-90504713.177,20.312,10.353,1,0,,1.2360000000000007
AA,unrooted,LG,tree_2,OMP_48,8,output_banchmark_bl_estimation_AA_LG_OMP_48_run8_tree_2_1000000_iqtree3_aa.log,15.711,500.071,-90504713.177,20.312,14.346,1,0,,1.3650000000000002
AA,unrooted,LG,tree_2,VANILA,9,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run9_tree_2_1000000_aa_iqtree.log,220.888,214.38,-90504713.177,20.312,217.78,1,0,,3.108000000000004
AA,unrooted,LG,tree_2,VANILA,7,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run7_tree_2_1000000_aa_iqtree.log,214.832,208.16,-90504713.177,20.312,211.446,1,0,,3.3859999999999957
AA,unrooted,LG,tree_2,OMP_10,5,output_banchmark_bl_estimation_AA_LG_OMP_10_run5_tree_2_1000000_iqtree3_aa.log,29.829,268.154,-90504713.177,20.312,28.544,1,0,,1.2850000000000001
AA,unrooted,LG,tree_2,VANILA,10,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run10_tree_2_1000000_aa_iqtree.log,216.488,210.304,-90504713.177,20.312,213.501,1,0,,2.9869999999999948
AA,unrooted,LG,tree_2,VANILA,4,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run4_tree_2_1000000_aa_iqtree.log,220.683,214.555,-90504713.177,20.312,217.816,1,0,,2.8669999999999902
AA,unrooted,LG,tree_2,OMP_10,10,output_banchmark_bl_estimation_AA_LG_OMP_10_run10_tree_2_1000000_iqtree3_aa.log,29.804,281.056,-90504713.177,20.312,28.52,1,0,,1.283999999999999
AA,unrooted,LG,tree_2,OMP_10,2,output_banchmark_bl_estimation_AA_LG_OMP_10_run2_tree_2_1000000_iqtree3_aa.log,50.739,330.705,-90504713.177,20.312,49.001,1,0,,1.7379999999999995
AA,unrooted,LG,tree_2,OMP_48,3,output_banchmark_bl_estimation_AA_LG_OMP_48_run3_tree_2_1000000_iqtree3_aa.log,11.399,454.021,-90504713.177,20.312,9.955,1,0,,1.443999999999999
AA,unrooted,LG,tree_2,VANILA,5,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run5_tree_2_1000000_aa_iqtree.log,220.6,213.739,-90504713.177,20.312,217.421,1,0,,3.179000000000002
AA,unrooted,LG,tree_2,OMP_10,1,output_banchmark_bl_estimation_AA_LG_OMP_10_run1_tree_2_1000000_iqtree3_aa.log,29.969,282.506,-90504713.177,20.312,28.647,1,0,,1.3220000000000027
AA,unrooted,LG,tree_2,OMP_48,4,output_banchmark_bl_estimation_AA_LG_OMP_48_run4_tree_2_1000000_iqtree3_aa.log,11.25,449.444,-90504713.177,20.312,9.848,1,0,,1.4019999999999992
AA,unrooted,LG,tree_2,OMP_10,9,output_banchmark_bl_estimation_AA_LG_OMP_10_run9_tree_2_1000000_iqtree3_aa.log,29.898,280.909,-90504713.177,20.312,28.511,1,0,,1.3870000000000005
AA,unrooted,LG,tree_2,VANILA,6,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run6_tree_2_1000000_aa_iqtree.log,219.261,212.464,-90504713.177,20.312,216.12,1,0,,3.140999999999991
AA,unrooted,LG,tree_2,VANILA,8,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run8_tree_2_1000000_aa_iqtree.log,224.057,217.453,-90504713.177,20.312,220.868,1,0,,3.188999999999993
AA,unrooted,LG,tree_2,OMP_10,6,output_banchmark_bl_estimation_AA_LG_OMP_10_run6_tree_2_1000000_iqtree3_aa.log,48.037,313.799,-90504713.177,20.312,46.667,1,0,,1.3699999999999974
AA,unrooted,LG,tree_2,OMP_48,2,output_banchmark_bl_estimation_AA_LG_OMP_48_run2_tree_2_1000000_iqtree3_aa.log,12.529,481.993,-90504713.177,20.312,10.796,1,0,,1.7330000000000005
AA,unrooted,LG,tree_2,VANILA,3,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run3_tree_2_1000000_aa_iqtree.log,221.36,214.678,-90504713.177,20.312,218.243,1,0,,3.1170000000000186
AA,unrooted,LG,tree_2,OMP_10,7,output_banchmark_bl_estimation_AA_LG_OMP_10_run7_tree_2_1000000_iqtree3_aa.log,29.675,280.217,-90504713.177,20.312,28.462,1,0,,1.213000000000001
AA,unrooted,LG,tree_2,OMP_10,8,output_banchmark_bl_estimation_AA_LG_OMP_10_run8_tree_2_1000000_iqtree3_aa.log,28.444,258.444,-90504713.177,20.312,27.108,1,0,,1.3359999999999985
AA,unrooted,LG,tree_2,OMP_48,5,output_banchmark_bl_estimation_AA_LG_OMP_48_run5_tree_2_1000000_iqtree3_aa.log,12.052,480.556,-90504713.177,20.312,10.612,1,0,,1.4399999999999995
AA,unrooted,LG,tree_3,OMP_10,2,output_banchmark_bl_estimation_AA_LG_OMP_10_run2_tree_3_1000000_iqtree3_aa.log,66.449,426.117,-87357001.171,19.421,64.552,1,0,,1.8969999999999914
AA,unrooted,LG,tree_3,OMP_10,10,output_banchmark_bl_estimation_AA_LG_OMP_10_run10_tree_3_1000000_iqtree3_aa.log,39.342,374.042,-87357001.171,19.421,38.068,1,0,,1.274000000000001
AA,unrooted,LG,tree_3,OMP_10,5,output_banchmark_bl_estimation_AA_LG_OMP_10_run5_tree_3_1000000_iqtree3_aa.log,39.46,362.091,-87357001.171,19.421,38.17,1,0,,1.2899999999999991
AA,unrooted,LG,tree_3,OMP_48,8,output_banchmark_bl_estimation_AA_LG_OMP_48_run8_tree_3_1000000_iqtree3_aa.log,14.642,570.499,-87357001.171,19.421,13.33,1,0,,1.3119999999999994
AA,unrooted,LG,tree_3,OMP_48,7,output_banchmark_bl_estimation_AA_LG_OMP_48_run7_tree_3_1000000_iqtree3_aa.log,16.641,661.068,-87357001.171,19.421,15.232,1,0,,1.408999999999999
AA,unrooted,LG,tree_3,OMP_48,10,output_banchmark_bl_estimation_AA_LG_OMP_48_run10_tree_3_1000000_iqtree3_aa.log,18.361,622.292,-87357001.171,19.421,17.015,1,0,,1.346
AA,unrooted,LG,tree_3,OMP_48,1,output_banchmark_bl_estimation_AA_LG_OMP_48_run1_tree_3_1000000_iqtree3_aa.log,13.971,576.212,-87357001.171,19.421,12.577,1,0,,1.3940000000000001
AA,unrooted,LG,tree_3,OMP_10,3,output_banchmark_bl_estimation_AA_LG_OMP_10_run3_tree_3_1000000_iqtree3_aa.log,39.239,373.237,-87357001.171,19.421,37.992,1,0,,1.2469999999999999
AA,unrooted,LG,tree_3,OMP_48,6,output_banchmark_bl_estimation_AA_LG_OMP_48_run6_tree_3_1000000_iqtree3_aa.log,13.984,569.798,-87357001.171,19.421,12.535,1,0,,1.4489999999999998
AA,unrooted,LG,tree_3,OMP_48,9,output_banchmark_bl_estimation_AA_LG_OMP_48_run9_tree_3_1000000_iqtree3_aa.log,19.546,625.708,-87357001.171,19.421,18.067,1,0,,1.4789999999999992
AA,unrooted,LG,tree_3,OMP_10,4,output_banchmark_bl_estimation_AA_LG_OMP_10_run4_tree_3_1000000_iqtree3_aa.log,40.421,383.42,-87357001.171,19.421,39.068,1,0,,1.3530000000000015
AA,unrooted,LG,tree_3,OMP_48,5,output_banchmark_bl_estimation_AA_LG_OMP_48_run5_tree_3_1000000_iqtree3_aa.log,15.892,612.972,-87357001.171,19.421,14.433,1,0,,1.4589999999999996
AA,unrooted,LG,tree_3,OMP_10,8,output_banchmark_bl_estimation_AA_LG_OMP_10_run8_tree_3_1000000_iqtree3_aa.log,64.886,391.759,-87357001.171,19.421,63.496,1,0,,1.3899999999999935
AA,unrooted,LG,tree_3,OMP_10,7,output_banchmark_bl_estimation_AA_LG_OMP_10_run7_tree_3_1000000_iqtree3_aa.log,39.24,373.032,-87357001.171,19.421,37.976,1,0,,1.264000000000003
AA,unrooted,LG,tree_3,OMP_48,2,output_banchmark_bl_estimation_AA_LG_OMP_48_run2_tree_3_1000000_iqtree3_aa.log,15.419,607.151,-87357001.171,19.421,14.152,1,0,,1.2670000000000012
AA,unrooted,LG,tree_3,OMP_10,6,output_banchmark_bl_estimation_AA_LG_OMP_10_run6_tree_3_1000000_iqtree3_aa.log,60.389,401.842,-87357001.171,19.421,59.039,1,0,,1.3500000000000014
AA,unrooted,LG,tree_3,OMP_10,9,output_banchmark_bl_estimation_AA_LG_OMP_10_run9_tree_3_1000000_iqtree3_aa.log,39.312,373.42,-87357001.171,19.421,38.031,1,0,,1.2809999999999988
AA,unrooted,LG,tree_3,OMP_48,4,output_banchmark_bl_estimation_AA_LG_OMP_48_run4_tree_3_1000000_iqtree3_aa.log,16.554,613.444,-87357001.171,19.421,15.324,1,0,,1.2299999999999986
AA,unrooted,LG,tree_3,OMP_10,1,output_banchmark_bl_estimation_AA_LG_OMP_10_run1_tree_3_1000000_iqtree3_aa.log,39.664,376.66,-87357001.171,19.421,38.318,1,0,,1.3460000000000036
AA,unrooted,LG,tree_3,OMP_48,3,output_banchmark_bl_estimation_AA_LG_OMP_48_run3_tree_3_1000000_iqtree3_aa.log,14.243,585.374,-87357001.171,19.421,12.834,1,0,,1.4090000000000007
AA,unrooted,LG,tree_4,OMP_10,2,output_banchmark_bl_estimation_AA_LG_OMP_10_run2_tree_4_1000000_iqtree3_aa.log,66.388,432.402,-87712627.079,20.39,64.837,1,0,,1.551000000000002
AA,unrooted,LG,tree_4,OMP_10,10,output_banchmark_bl_estimation_AA_LG_OMP_10_run10_tree_4_1000000_iqtree3_aa.log,39.51,376.02,-87712627.079,20.39,38.262,1,0,,1.2479999999999976
AA,unrooted,LG,tree_4,OMP_48,7,output_banchmark_bl_estimation_AA_LG_OMP_48_run7_tree_4_1000000_iqtree3_aa.log,14.987,617.784,-87712627.079,20.39,13.583,1,0,,1.404
AA,unrooted,LG,tree_4,OMP_48,10,output_banchmark_bl_estimation_AA_LG_OMP_48_run10_tree_4_1000000_iqtree3_aa.log,17.655,639.448,-87712627.079,20.39,16.388,1,0,,1.2669999999999995
AA,unrooted,LG,tree_4,OMP_10,5,output_banchmark_bl_estimation_AA_LG_OMP_10_run5_tree_4_1000000_iqtree3_aa.log,38.017,347.313,-87712627.079,20.39,36.749,1,0,,1.2680000000000007
AA,unrooted,LG,tree_4,OMP_48,8,output_banchmark_bl_estimation_AA_LG_OMP_48_run8_tree_4_1000000_iqtree3_aa.log,15.758,615.912,-87712627.079,20.39,14.473,1,0,,1.2849999999999984
AA,unrooted,LG,tree_4,OMP_10,3,output_banchmark_bl_estimation_AA_LG_OMP_10_run3_tree_4_1000000_iqtree3_aa.log,39.361,374.888,-87712627.079,20.39,38.093,1,0,,1.2679999999999936
AA,unrooted,LG,tree_4,OMP_48,1,output_banchmark_bl_estimation_AA_LG_OMP_48_run1_tree_4_1000000_iqtree3_aa.log,14.607,601.617,-87712627.079,20.39,13.164,1,0,,1.4429999999999996
AA,unrooted,LG,tree_4,OMP_48,9,output_banchmark_bl_estimation_AA_LG_OMP_48_run9_tree_4_1000000_iqtree3_aa.log,14.617,608.017,-87712627.079,20.39,13.101,1,0,,1.516
AA,unrooted,LG,tree_4,OMP_10,4,output_banchmark_bl_estimation_AA_LG_OMP_10_run4_tree_4_1000000_iqtree3_aa.log,39.984,380.102,-87712627.079,20.39,38.726,1,0,,1.2580000000000027
AA,unrooted,LG,tree_4,OMP_48,6,output_banchmark_bl_estimation_AA_LG_OMP_48_run6_tree_4_1000000_iqtree3_aa.log,14.919,604.671,-87712627.079,20.39,13.652,1,0,,1.2670000000000012
AA,unrooted,LG,tree_4,OMP_10,7,output_banchmark_bl_estimation_AA_LG_OMP_10_run7_tree_4_1000000_iqtree3_aa.log,39.387,374.884,-87712627.079,20.39,38.135,1,0,,1.2520000000000024
AA,unrooted,LG,tree_4,OMP_48,5,output_banchmark_bl_estimation_AA_LG_OMP_48_run5_tree_4_1000000_iqtree3_aa.log,15.737,593.664,-87712627.079,20.39,13.555,1,0,,2.1820000000000004
AA,unrooted,LG,tree_4,OMP_10,8,output_banchmark_bl_estimation_AA_LG_OMP_10_run8_tree_4_1000000_iqtree3_aa.log,38.809,352.862,-87712627.079,20.39,37.528,1,0,,1.2809999999999988
AA,unrooted,LG,tree_4,OMP_48,2,output_banchmark_bl_estimation_AA_LG_OMP_48_run2_tree_4_1000000_iqtree3_aa.log,14.784,606.28,-87712627.079,20.39,13.356,1,0,,1.4280000000000008
AA,unrooted,LG,tree_4,OMP_10,9,output_banchmark_bl_estimation_AA_LG_OMP_10_run9_tree_4_1000000_iqtree3_aa.log,39.558,375.639,-87712627.079,20.39,38.301,1,0,,1.256999999999998
AA,unrooted,LG,tree_4,OMP_48,4,output_banchmark_bl_estimation_AA_LG_OMP_48_run4_tree_4_1000000_iqtree3_aa.log,15.18,636.898,-87712627.079,20.39,13.749,1,0,,1.4309999999999992
AA,unrooted,LG,tree_4,OMP_10,6,output_banchmark_bl_estimation_AA_LG_OMP_10_run6_tree_4_1000000_iqtree3_aa.log,41.682,370.854,-87712627.079,20.39,40.373,1,0,,1.3090000000000046
AA,unrooted,LG,tree_4,OMP_48,3,output_banchmark_bl_estimation_AA_LG_OMP_48_run3_tree_4_1000000_iqtree3_aa.log,18.698,658.699,-87712627.079,20.39,17.319,1,0,,1.3790000000000013
AA,unrooted,LG,tree_4,OMP_10,1,output_banchmark_bl_estimation_AA_LG_OMP_10_run1_tree_4_1000000_iqtree3_aa.log,39.658,377.388,-87712627.079,20.39,38.352,1,0,,1.3060000000000045
AA,unrooted,LG,tree_5,OMP_48,6,output_banchmark_bl_estimation_AA_LG_OMP_48_run6_tree_5_1000000_iqtree3_aa.log,17.757,624.961,-86382770.364,19.61,16.446,1,0,,1.311
AA,unrooted,LG,tree_5,OMP_10,4,output_banchmark_bl_estimation_AA_LG_OMP_10_run4_tree_5_1000000_iqtree3_aa.log,39.502,375.813,-86382770.364,19.61,38.215,1,0,,1.286999999999999
