backend,taxa,sites,patterns,likelihood,time,treefile,run_number
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,1.526,tree_4,run7
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.915,tree_4,run6
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,2.226,tree_4,run1
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.739,tree_4,run5
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.936,tree_4,run7
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,1.552,tree_4,run6
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,1.547,tree_4,run9
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.92,tree_4,run8
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.95,tree_4,run6
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.878,tree_4,run8
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,1.561,tree_4,run5
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.906,tree_4,run4
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,13.156,tree_4,run9
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.701,tree_4,run7
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.95,tree_4,run3
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.913,tree_4,run4
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.668,tree_4,run10
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,1.538,tree_4,run2
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.899,tree_4,run10
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.758,tree_4,run2
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.95,tree_4,run5
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,1.527,tree_4,run4
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-97277284.227,12.747,tree_4,run1
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-97277284.227,1.756,tree_4,run3
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-97277284.227,0.878,tree_4,run2
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.313,tree_5,run9
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.023,tree_5,run7
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,1.03,tree_5,run8
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.591,tree_5,run9
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.599,tree_5,run6
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.918,tree_5,run7
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.118,tree_5,run10
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.242,tree_5,run4
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,2.01,tree_5,run1
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.919,tree_5,run6
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.662,tree_5,run7
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.668,tree_5,run8
