file,variant,cpu,dataset,datatype,taxa,sites,status,n_wallclock_lines,wall_total_s,wall_mf_s,wall_tree_s,bash_walltime_s,best_logL,best_model,n_sequences,n_columns,distinct_patterns,host,has_contree,has_splits_nex,has_boottrees,has_iqtree,support_n,support_median,support_mean,support_ge95,support_ge70,support_lt70
output_cpu_bootstrap_DNA_Lassa_Virus_OMP_104_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_OMP104_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_UFBOOT1000_3226.log,UFBOOT1000,OMP_104,Lassa_Virus,DNA,179,3226,COMPLETE,1,181.579,28.771,150.634,,-64171.452,GTR+R5,179.0,3186.0,1475.0,gadi-cpu-spr-0041.gadi.nci.org.au,True,True,False,True,175,100.0,93.25714285714285,133.0,159.0,16.0
output_cpu_bootstrap_DNA_Lassa_Virus_OMP_48_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_BOOT100_3226.log,BOOT100,OMP_48,Lassa_Virus,DNA,179,3226,COMPLETE,101,16279.07,29.408,117.925,,-63267.196,GTR+R5,179.0,3186.0,1475.0,gadi-cpu-clx-2913.gadi.nci.org.au,True,False,True,True,176,96.0,81.07954545454545,92.0,128.0,48.0
output_cpu_bootstrap_DNA_Lassa_Virus_OMP_48_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_UFBOOT1000_3226.log,UFBOOT1000,OMP_48,Lassa_Virus,DNA,179,3226,COMPLETE,1,422.578,32.263,388.373,,-64171.704,GTR+R5,179.0,3186.0,1475.0,gadi-cpu-clx-2942.gadi.nci.org.au,True,True,False,True,175,100.0,93.48571428571428,142.0,158.0,17.0
output_cpu_bootstrap_DNA_Mammal_B_OMP_104_taxa274_run1_tree_1_7463_iqtree3_DNA_INTEL_VANILA_OMP104_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_BOOT100_7463.log,BOOT100,OMP_104,Mammal_B,DNA,274,7463,COMPLETE,101,48422.007,187.23,140.639,,-338517.547,GTR+F+R8,274.0,7370.0,4303.0,gadi-cpu-spr-0059.gadi.nci.org.au,True,False,True,True,271,100.0,85.43173431734317,164.0,211.0,60.0
output_cpu_bootstrap_DNA_Mammal_B_OMP_104_taxa274_run1_tree_1_7463_iqtree3_DNA_INTEL_VANILA_OMP104_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_UFBOOT1000_7463.log,UFBOOT1000,OMP_104,Mammal_B,DNA,274,7463,COMPLETE,1,465.903,184.971,273.679,,-338398.557,GTR+F+R8,274.0,7370.0,4303.0,gadi-cpu-spr-0430.gadi.nci.org.au,True,True,False,True,271,100.0,96.35793357933579,228.0,259.0,12.0
output_cpu_bootstrap_DNA_Mammal_OMP_104_taxa37_run1_tree_1_1409139_iqtree3_DNA_INTEL_VANILA_OMP104_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_BOOT100_1409139.log,BOOT100,OMP_104,Mammal,DNA,37,1409139,COMPLETE,101,40847.862,2926.891,242.307,,-13172868.906,GTR+F+R5,37.0,1391742.0,775579.0,gadi-cpu-spr-0063.gadi.nci.org.au,True,False,True,True,34,100.0,98.94117647058823,32.0,34.0,0.0
output_cpu_bootstrap_DNA_Mammal_OMP_104_taxa37_run1_tree_1_1409139_iqtree3_DNA_INTEL_VANILA_OMP104_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_UFBOOT1000_1409139.log,UFBOOT1000,OMP_104,Mammal,DNA,37,1409139,COMPLETE,1,3729.989,3012.877,518.895,,-13169123.543,GTR+F+R5,37.0,1391742.0,775579.0,gadi-cpu-spr-0071.gadi.nci.org.au,True,True,False,True,34,100.0,99.0,32.0,34.0,0.0
output_cpu_bootstrap_DNA_Plants_OMP_104_taxa16_run1_tree_1_4246454_iqtree3_DNA_INTEL_VANILA_OMP104_Plants_16taxa_4246454len_ninit2_optalg2BFGS_BOOT100_4246454.log,BOOT100,OMP_104,Plants,DNA,16,4246454,COMPLETE,101,3723.556,186.816,29.416,,-15403089.413,GTR+F+I+R5,16.0,4246454.0,190352.0,gadi-cpu-spr-0064.gadi.nci.org.au,True,False,True,True,13,100.0,100.0,13.0,13.0,0.0
output_cpu_bootstrap_DNA_Plants_OMP_104_taxa16_run1_tree_1_4246454_iqtree3_DNA_INTEL_VANILA_OMP104_Plants_16taxa_4246454len_ninit2_optalg2BFGS_UFBOOT1000_4246454.log,UFBOOT1000,OMP_104,Plants,DNA,16,4246454,COMPLETE,1,196.178,140.423,38.235,,-15408509.6,GTR+F+I+R5,16.0,4246454.0,190352.0,gadi-cpu-spr-0067.gadi.nci.org.au,True,True,False,True,13,100.0,100.0,13.0,13.0,0.0
output_cpu_bootstrap_DNA_Plants_OMP_48_taxa16_run1_tree_1_4246454_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Plants_16taxa_4246454len_ninit2_optalg2BFGS_BOOT100_4246454.log,BOOT100,OMP_48,Plants,DNA,16,4246454,STILL_RUNNING,1,360.976,318.185,31.092,465.05568,-15403092.907,GTR+F+I+R4,16.0,4246454.0,190352.0,gadi-cpu-clx-1499.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_DNA_Plants_OMP_48_taxa16_run1_tree_1_4246454_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Plants_16taxa_4246454len_ninit2_optalg2BFGS_UFBOOT1000_4246454.log,UFBOOT1000,OMP_48,Plants,DNA,16,4246454,COMPLETE,1,398.477,325.573,52.387,,-15408511.977,GTR+F+I+R4,16.0,4246454.0,190352.0,gadi-cpu-clx-1498.gadi.nci.org.au,True,True,False,True,13,100.0,100.0,13.0,13.0,0.0
