file,datatype,dataset,taxa,sites,hardware,status,host,best_model,n_sequences,n_columns,distinct_patterns,wall_total_s,wall_tree_s,wall_mf_s,best_logL,energy_cpu_ts_J,energy_gpu_ts_J,energy_cpu_mf_J,energy_gpu_mf_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,bash_walltime_s,energy_cpu_total_J,energy_gpu_total_J,logL_ref,delta_logL,rel_diff
output_openacc_stable_bfgs_DNA_Lassa_Virus_OPENACC_taxa179_run1_tree_1_3226_iqtree3_DNA_OPENACC_V100_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_rerun_OPENACC_run1_3226_iqtree.log,DNA,Lassa_Virus,179,3226,openACC_V100,COMPLETE,gadi-gpu-v100-0090.gadi.nci.org.au,GTR+R5,179.0,3186.0,1475.0,920.549,701.576,216.416,-64185.257,102050.973,40032.995,29970.585,12949.527,791.25,32768.0,204.0,231.957,385603.188,,132021.558,52982.522000000004,-64171.532,-13.724999999998545,-0.00021387988680087215
output_openacc_stable_bfgs_DNA_Mammal_B_OPENACC_taxa274_run1_tree_1_7463_iqtree3_DNA_OPENACC_A100_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_OPENACC_run1_7463_iqtree.log,DNA,Mammal_B,274,7463,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+F+I+R8,274.0,7370.0,4303.0,2065.168,1187.08,867.068,-338404.137,297700.865,88016.438,229459.591,79957.461,2782.812,81920.0,1780.0,193.473,2064034.527,,527160.456,167973.89899999998,-338396.679,-7.4579999999841675,-2.2039223381338702e-05
output_openacc_stable_bfgs_DNA_Mammal_B_OPENACC_taxa274_run1_tree_1_7463_iqtree3_DNA_OPENACC_H200_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_OPENACC_run1_7463_iqtree.log,DNA,Mammal_B,274,7463,openACC_H200,COMPLETE,gadi-gpu-h200-0024.gadi.nci.org.au,GTR+F+I+R8,274.0,7370.0,4303.0,1165.326,519.185,638.337,-338412.397,140985.2,64376.067,172246.795,94401.096,2544.688,143771.0,1670.0,215.367,1031781.785,,313231.995,158777.163,-338396.679,-15.71799999999348,-4.6448446380862625e-05
output_openacc_stable_bfgs_DNA_Mammal_B_OPENACC_taxa274_run1_tree_1_7463_iqtree3_DNA_OPENACC_H200_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_nt12_OPENACC_run1_7463_iqtree.log,DNA,Mammal_B,274,7463,openACC_H200_nt12,COMPLETE,gadi-gpu-h200-0024.gadi.nci.org.au,GTR+F+I+R8,274.0,7370.0,4303.0,7276.929,646.23,6577.666,-338412.397,161362.684,79115.045,1704663.165,786112.828,2540.688,143771.0,1666.0,363.562,1031781.785,,1866025.849,865227.873,-338396.679,-15.71799999999348,-4.6448446380862625e-05
output_openacc_stable_bfgs_DNA_Mammal_B_OPENACC_taxa274_run1_tree_1_7463_iqtree3_DNA_OPENACC_V100_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_OPENACC_run1_7463_iqtree.log,DNA,Mammal_B,274,7463,openACC_V100,COMPLETE,gadi-gpu-v100-0039.gadi.nci.org.au,GTR+F+R8,274.0,7370.0,4303.0,1766.441,965.872,791.573,-338406.695,136924.111,77547.747,110988.148,81722.626,2255.25,32768.0,1668.0,227.691,385600.184,,247912.25900000002,159270.37300000002,-338396.679,-10.01600000000326,-2.9598399220706478e-05
output_openacc_stable_bfgs_DNA_Mammal_OPENACC_taxa37_run1_tree_1_1409139_iqtree3_DNA_OPENACC_A100_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_OPENACC_run1_1409139_iqtree.log,DNA,Mammal,37,1409139,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+F+R6,37.0,1391742.0,775579.0,3799.216,700.52,3077.837,-13169166.859,159142.643,182574.448,700835.785,835120.93,24156.812,81920.0,23154.0,1589.543,2064034.527,,859978.4280000001,1017695.378,-13169123.543,-43.31599999964237,-3.2892090242912814e-06
output_openacc_stable_bfgs_DNA_Mammal_OPENACC_taxa37_run1_tree_1_1409139_iqtree3_DNA_OPENACC_A100_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_nt12_OPENACC_run1_1409139_iqtree.log,DNA,Mammal,37,1409139,openACC_A100_nt12,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,GTR+F+R6,37.0,1391742.0,775579.0,6565.923,688.63,5848.105,-13169166.859,135093.755,181369.304,1151600.428,1003002.344,24158.812,81920.0,23156.0,1602.617,2064034.527,,1286694.1830000002,1184371.648,-13169123.543,-43.31599999964237,-3.2892090242912814e-06
output_openacc_stable_bfgs_DNA_Mammal_OPENACC_taxa37_run1_tree_1_1409139_iqtree3_DNA_OPENACC_H200_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_OPENACC_run1_1409139_iqtree.log,DNA,Mammal,37,1409139,openACC_H200,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,GTR+F+I+R4,37.0,1391742.0,775579.0,2547.212,311.427,2182.284,-13169445.641,83586.292,113370.602,592031.463,934806.933,31476.688,143771.0,30602.0,2246.141,1031781.754,,675617.755,1048177.5349999999,-13169123.543,-322.0980000011623,-2.4458575314404452e-05
output_openacc_stable_bfgs_DNA_Mammal_OPENACC_taxa37_run1_tree_1_1409139_iqtree3_DNA_OPENACC_H200_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_nt12_OPENACC_run1_1409139_iqtree.log,DNA,Mammal,37,1409139,openACC_H200_nt12,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,GTR+F+I+R4,37.0,1391742.0,775579.0,4459.682,291.867,4057.799,-13169445.641,74490.244,111881.801,1052106.136,1063168.867,31478.688,143771.0,30604.0,2201.102,1031781.754,,1126596.38,1175050.668,-13169123.543,-322.0980000011623,-2.4458575314404452e-05
output_openacc_stable_bfgs_DNA_Mammal_OPENACC_taxa37_run1_tree_1_1409139_iqtree3_DNA_OPENACC_V100_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_OPENACC_run1_1409139_iqtree.log,DNA,Mammal,37,1409139,openACC_V100,COMPLETE,gadi-gpu-v100-0017.gadi.nci.org.au,GTR+F+R7,37.0,1391742.0,775579.0,7259.987,2179.041,5024.688,-13169131.041,422860.239,373247.026,973187.854,942405.325,23741.25,32768.0,23154.0,2033.266,385603.176,,1396048.093,1315652.351,-13169123.543,-7.4979999996721745,-5.693621124587072e-07
